Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,201",Jinsung Lim,Jinsung Lim is creating digital art (jinsunglim),https://graphtreon.com/creator/jinsunglim,14,,,990,Jan 2017
"1,202",Myuna Art,"Myuna Art is creating illustrations, pins & keychains, fanart and otaku-fandom (myuna_art)",https://graphtreon.com/creator/myuna_art,14,,,908,Apr 2017
"1,203",Jeremy Cross,"Jeremy Cross is creating Oil Paintings, Pyrography, Custom Framing and More! (JeremyCross)",https://graphtreon.com/creator/JeremyCross,14,$39 per month,$2.80 per month,437,Jul 2018
"1,204",Shaina Craft,Shaina Craft is creating Figurative Paintings (ShainaCraftArt),https://graphtreon.com/creator/ShainaCraftArt,14,,,739,Sep 2017
"1,205",Saga,"Saga is creating Illustration, Character Art and Role Playing Game Miscellany (sagaillustrates)",https://graphtreon.com/creator/sagaillustrates,14,$60 per month,$4.27 per month,251,Jan 2019
"1,206",Licca Kirk,Licca Kirk is creating Paper art and watercolor paintings (LiccaKirk),https://graphtreon.com/creator/LiccaKirk,14,$188 per month,$13.46 per month,1591,May 2015
"1,207",Erika Lancaster Artist,Erika Lancaster Artist is creating Drawing/Painting Tutorials + Original Artwork (erika_lancaster_artist),https://graphtreon.com/creator/erika_lancaster_artist,14,$60 per month,$4.27 per month,270,Jan 2019
"1,208",Sophie Iles,Sophie Iles is creating  stories & artwork (sophieilesart),https://graphtreon.com/creator/sophieilesart,14,$96 per month,$6.89 per month,481,Jun 2018
"1,209",Phil McAndrew,"Phil McAndrew is creating comics, illustrations, zines, humor and more (philm)",https://graphtreon.com/creator/philm,14,,,1835,Sep 2014
"1,210",Nate,Nate is creating Illustrations and Furry Artwork (natedraws),https://graphtreon.com/creator/natedraws,14,$44 per month,$3.15 per month,645,Dec 2017
"1,211",Peter Edwards,"Peter Edwards is creating Flash Fiction, Illustrations, horror and comics. (littlefears)",https://graphtreon.com/creator/littlefears,14,$43 per month,$3.09 per month,937,Mar 2017
"1,212",Palestinian Voices,Palestinian Voices is creating stories about Palestinians life under siege and occupation (FalastinVoices),https://graphtreon.com/creator/FalastinVoices,14,,,319,Nov 2018
"1,213",Claudia Art Studio,Claudia Art Studio is creating Wild Life Inspired Illustrations (claudiabernal),https://graphtreon.com/creator/claudiabernal,14,$65 per month,$4.63 per month,123,Jun 2019
"1,214",Guido Segni,Guido Segni is creating art by the use of productive laziness automated processes (guidosegni),https://graphtreon.com/creator/guidosegni,14,,,533,Apr 2018
"1,215",Astral Lamb,Astral Lamb is creating Illustrations and comics (astrallamb),https://graphtreon.com/creator/astrallamb,13,,,245,Jan 2019
"1,216",Pepelangelo,Pepelangelo is creating Rare Pepe Paintings (pepelangelo),https://graphtreon.com/creator/pepelangelo,13,$97 per month,$7.48 per month,351,Oct 2018
"1,217",Molly McLeod,Molly McLeod is creating inspirational daily art (mollyampersand),https://graphtreon.com/creator/mollyampersand,13,$76 per month,$5.86 per month,152,May 2019
"1,218",Oliver Pengilley,Oliver Pengilley is creating Paintings and videos (oliverpengilley),https://graphtreon.com/creator/oliverpengilley,13,$95 per month,$7.34 per month,780,Aug 2017
"1,219",Alexa Sharpe,Alexa Sharpe is creating Illustrations and Comics (alexasharpe),https://graphtreon.com/creator/alexasharpe,13,,,488,Jun 2018
"1,220",Yuhxma,Yuhxma is creating Art and GachaEdits (gachaeditszay),https://graphtreon.com/creator/gachaeditszay,13,,,300,Dec 2018
"1,221",a r v i e,"a r v i e is creating webtoons, comics, drawings (a_r_v_i_e)",https://graphtreon.com/creator/a_r_v_i_e,13,$36 per month,$2.81 per month,520,Apr 2018
"1,222",Roy Fishes,Roy Fishes is creating Ilustrations (royfishes),https://graphtreon.com/creator/royfishes,13,,,584,Feb 2018
"1,223",Temachii,"Temachii is creating Wholesome anime art , sketches , and waifus (temachii)",https://graphtreon.com/creator/temachii,13,$128 per month,$9.83 per month,158,Apr 2019
"1,224",Johannes VIII,"Johannes VIII is creating illustrations, comics and fan art (JohannesVIII)",https://graphtreon.com/creator/JohannesVIII,13,$30 per month,$2.31 per month,516,May 2018
"1,225",Toby I like CATS,"Toby I like CATS is creating illustrations, paintings, sketchbook pages... CATS (tobyilikecats)",https://graphtreon.com/creator/tobyilikecats,13,,,150,May 2019
"1,226",Kate Creech,"Kate Creech is creating sketch notes, illustrations, and paintings (Whenyourtherapistarts)",https://graphtreon.com/creator/Whenyourtherapistarts,13,$124 per month,$9.55 per month,546,Apr 2018
"1,227",Hollulu,Hollulu is creating Digital Art & Illustrations (Hollulu),https://graphtreon.com/creator/Hollulu,13,$96 per creation,$7.41 per creation,1640,Apr 2015
"1,228",ALS Year-Long Sketchathon,ALS Year-Long Sketchathon is creating Sketches (alssketchathon),https://graphtreon.com/creator/alssketchathon,13,$19 per Sketch,$1.43 per Sketch,1736,Dec 2014
"1,229",Morthern,Morthern is creating Drawings and sketches (Morthern),https://graphtreon.com/creator/Morthern,13,$85 per month,$6.51 per month,304,Dec 2018
"1,230",Mistoph,Mistoph is creating Patterns and Studying Art    (Mistoph1),https://graphtreon.com/creator/Mistoph1,13,$89 per month,$6.82 per month,813,Jul 2017
"1,231",Dani Russo,"Dani Russo is creating Art, Comics, Illustrations, & Cute Monsters (snarksonomy)",https://graphtreon.com/creator/snarksonomy,13,,,489,May 2018
"1,232",JMV,JMV is creating Digital Illustrations and Fan Works (artofjmv),https://graphtreon.com/creator/artofjmv,13,$51 per month,$3.94 per month,150,May 2019
"1,233",Bella ♥,Bella ♥ is creating multi-media art ♥ (uguuBella),https://graphtreon.com/creator/uguuBella,13,,,1154,Aug 2016
"1,234",Sam Yates,Sam Yates is creating fiction (dromicosuchus),https://graphtreon.com/creator/dromicosuchus,13,$91 per chapter,$6.99 per chapter,1038,Nov 2016
"1,235",Tron Bonne,Tron Bonne is creating dem arts (TronBonneArt),https://graphtreon.com/creator/TronBonneArt,13,$60 per month,$4.60 per month,1466,Sep 2015
"1,236",Rick Secen,Rick Secen is creating world travel paintings. (aneaselabroad),https://graphtreon.com/creator/aneaselabroad,13,$127 per month,$9.76 per month,683,Nov 2017
"1,237",Ennun Ana Iurov,Ennun Ana Iurov is creating illustrations (ennunanaiurov),https://graphtreon.com/creator/ennunanaiurov,13,$59 per month,$4.57 per month,785,Aug 2017
"1,238",Aylor,Aylor is creating Cartoon Animals (aylor),https://graphtreon.com/creator/aylor,13,$86 per month,$6.65 per month,637,Jan 2018
"1,239",Kristina Lebedeva,Kristina Lebedeva is creating Wounded Art (woundedwarrior),https://graphtreon.com/creator/woundedwarrior,13,$40 per month,$3.08 per month,594,Feb 2018
"1,240",Zanna,Zanna is creating artwork and sketches (UncommonCritter),https://graphtreon.com/creator/UncommonCritter,13,$111 per month,$8.54 per month,795,Jul 2017
"1,241",Zie Darling,Zie Darling is creating illustrations  (Ziedarling),https://graphtreon.com/creator/Ziedarling,13,,,707,Oct 2017
"1,242",Tad Wagner,Tad Wagner is creating an album (tadwagner),https://graphtreon.com/creator/tadwagner,13,$86 per month,$6.65 per month,635,Jan 2018
