Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,101",Alyssa Robinson,Alyssa Robinson is creating lettering & illustrations (arobinsonart),https://graphtreon.com/creator/arobinsonart,15,$57 per month,$3.83 per month,265,Jan 2019
"1,102",Marc Keelan-Bishop,Marc Keelan-Bishop is creating de l'art pour supporter l'Ontario Français (marckeelanbishop),https://graphtreon.com/creator/marckeelanbishop,15,$96 per month,$6.43 per month,314,Nov 2018
"1,103",Ipaintcreatures,Ipaintcreatures is creating Teaching Poetry - Storytelling - Painting - and Streaming Live (Ipaintcreatures),https://graphtreon.com/creator/Ipaintcreatures,15,,,1038,Nov 2016
"1,104",Maryjo Koch,Maryjo Koch is creating Nature Illustration Lessons with Gouache and Watercolor (maryjokoch),https://graphtreon.com/creator/maryjokoch,15,$260 per month,$17.34 per month,320,Nov 2018
"1,105",Devon Smith,"Devon Smith is creating Paintings, drawings, pins and zines (Devonsmith)",https://graphtreon.com/creator/Devonsmith,15,,,524,Apr 2018
"1,106",Nemupan,Nemupan is creating illustrations (nemupan),https://graphtreon.com/creator/nemupan,15,,,68,Jul 2019
"1,107",Forest of Babel,Forest of Babel is creating Fiction & Art (forestofbabel),https://graphtreon.com/creator/forestofbabel,15,$58 per month,$3.88 per month,1018,Dec 2016
"1,108",shuuzaar,shuuzaar is creating Concept Art/Illustrations (shuuzaar),https://graphtreon.com/creator/shuuzaar,15,,,183,Apr 2019
"1,109",Holiventrae,Holiventrae is creating illustrations (holiventrae),https://graphtreon.com/creator/holiventrae,15,$45 per month,$2.99 per month,152,May 2019
"1,110",Franz Anthony,Franz Anthony is creating nature illustrations & invertebrate shitposting (franzanth),https://graphtreon.com/creator/franzanth,15,,,632,Jan 2018
"1,111",Sandara,Sandara is creating Digital & Traditional Art (sandara),https://graphtreon.com/creator/sandara,15,$95 per 2 weeks,$6.36 per 2 weeks,1647,Mar 2015
"1,112",Rachel Parker,Rachel Parker is creating Watercolor Paintings (rachelsstudio),https://graphtreon.com/creator/rachelsstudio,15,,,444,Jul 2018
"1,113",Amé Binnarä K.,Amé Binnarä K. is creating Vegan + Cruelty Free Watercolours and Arts (amebk_eem),https://graphtreon.com/creator/amebk_eem,15,$135 per month,$9.00 per month,96,Jun 2019
"1,114",Danny Roberts,"Danny Roberts is creating Worlds, Stories, Paintings, Animations and Music (dannyroberts)",https://graphtreon.com/creator/dannyroberts,15,$134 per month,$8.94 per month,736,Sep 2017
"1,115",Black Fenrir,"Black Fenrir is creating Art, Illustration, Sculpture, Animation & Game Development (black_fenrir)",https://graphtreon.com/creator/black_fenrir,15,$41 per week,$2.70 per week,1463,Sep 2015
"1,116",riaru-sensei,riaru-sensei is creating  WEBTOON and Drawings!! (riaru),https://graphtreon.com/creator/riaru,15,,,802,Jul 2017
"1,117",Ryan Peach Turner,"Ryan Peach Turner is creating Characters, Illustrations, Clothes, and Stickers! (ryanpeachturner)",https://graphtreon.com/creator/ryanpeachturner,15,,,456,Jul 2018
"1,118",The Tiny Art Co,"The Tiny Art Co is creating tiny, super-detailed Art (thetinyartco)",https://graphtreon.com/creator/thetinyartco,15,,,275,Dec 2018
"1,119",Kim Holm,Kim Holm is creating free art (kimholm),https://graphtreon.com/creator/kimholm,15,$112 per month,$7.46 per month,2092,Jan 2014
"1,120",Eef,Eef is creating Digital Illustrations (allenvooreef),https://graphtreon.com/creator/allenvooreef,15,$39 per month,$2.58 per month,1272,Apr 2016
"1,121",Marina Kozinaki,"Marina Kozinaki is creating illustrations, photos, books (marinakozinaki)",https://graphtreon.com/creator/marinakozinaki,15,$92 per month,$6.12 per month,351,Oct 2018
