Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
101,nixelpixel,nixelpixel is creating видео и активизм! (nixelpixel),https://graphtreon.com/creator/nixelpixel,185,$888 per month,$4.80 per month,772,Aug 2017
102,Amy Brown Art,Amy Brown Art is creating art - watercolor paintings (amybrownart),https://graphtreon.com/creator/amybrownart,182,,,924,Mar 2017
103,Katie,Katie is creating Comics & Illustrations (strangelykatie),https://graphtreon.com/creator/strangelykatie,181,$744 per month,$4.11 per month,1465,Sep 2015
104,GHOST,GHOST is creating VOCALOID original songs and artwork (ghostandpals),https://graphtreon.com/creator/ghostandpals,181,,,1273,Apr 2016
105,Koyorin,Koyorin is creating Illustrations and Characters (koyorin),https://graphtreon.com/creator/koyorin,178,,,1156,Aug 2016
106,Naomi Romero,Naomi Romero is creating illustrations and merchandise (naomiromero),https://graphtreon.com/creator/naomiromero,178,"$1,774 per month",$9.97 per month,793,Jul 2017
107,Kat Tsai,Kat Tsai is creating digital illustrations (chuwenjie),https://graphtreon.com/creator/chuwenjie,177,,,428,Jul 2018
108,Milby's Maps,Milby's Maps is creating Hand-Drawn Fantasy Cartography (milbysmaps),https://graphtreon.com/creator/milbysmaps,177,$985 per month,$5.57 per month,377,Sep 2018
109,James Wappel,James Wappel is creating tutorials for painting miniatures and terrain (JamesWappel),https://graphtreon.com/creator/JamesWappel,174,"$1,904 per month",$10.95 per month,696,Nov 2017
110,Character Design References,Character Design References is creating the Character Design Challenge! (CharacterDesignChallenge),https://graphtreon.com/creator/CharacterDesignChallenge,172,,,1063,Nov 2016
111,Marcello Barenghi,Marcello Barenghi is creating drawing videos and tutorials (marcellobarenghi),https://graphtreon.com/creator/marcellobarenghi,169,"$1,449 per month",$8.57 per month,1447,Oct 2015
112,Artist and Painter Knut Andre Vikshåland,Artist and Painter Knut Andre Vikshåland is creating Art Oil Paintings and Oil painting lesson Videos on Youtube  (KnutAndreVikshaland),https://graphtreon.com/creator/KnutAndreVikshaland,168,,,1199,Jun 2016
113,Samantha Darcy,Samantha Darcy is creating the Adventurer’s Fashion Primer (samdarcy),https://graphtreon.com/creator/samdarcy,168,,,617,Jan 2018
114,Astri Lohne,Astri Lohne is creating Illustrations and Tutorials (astrilohne),https://graphtreon.com/creator/astrilohne,167,$997 per Illustration Box (usually 1 per month),$5.97 per Illustration Box (usually 1 per month),294,Dec 2018
115,Krenz,"Krenz is creating art tutorial,Illustration,fanart (KrenzCushart)",https://graphtreon.com/creator/KrenzCushart,164,"$1,326 per Tutorial",$8.08 per Tutorial,1413,Nov 2015
116,Margaret Morales,Margaret Morales is creating watercolor paintings and drawings (margaretmoralesart),https://graphtreon.com/creator/margaretmoralesart,162,,,1061,Nov 2016
117,Ten Hundred,"Ten Hundred is creating Murals, Paintings, Clothing and Design (tenhun)",https://graphtreon.com/creator/tenhun,160,"$1,455 per month",$9.09 per month,462,Jun 2018
118,Bjenny Montero,Bjenny Montero is creating Artwork (bjennymontero),https://graphtreon.com/creator/bjennymontero,159,,,226,Feb 2019
119,ellie vs bear,ellie vs bear is creating illustrations and art tutorials (ellievsbear),https://graphtreon.com/creator/ellievsbear,159,"$1,270 per month",$7.99 per month,150,May 2019
120,GUWEIZ,"GUWEIZ is creating Digital Illustrations, Processes & Tutorials (guweiz)",https://graphtreon.com/creator/guweiz,158,"$1,801 per Monthly Content",$11.40 per Monthly Content,1392,Dec 2015
121,Frenone,"Frenone is creating Illustrations, Pins & Playing Cards (frenone)",https://graphtreon.com/creator/frenone,157,,,1340,Jan 2016
122,SAU-SIEGE,"SAU-SIEGE is creating pretty gaming Illustrations, Videos & Animations (sau_siege)",https://graphtreon.com/creator/sau_siege,156,,,172,Apr 2019
123,Caroline Henkelius,Caroline Henkelius is creating products in wool - from our own mill in Sweden  (honerocheir),https://graphtreon.com/creator/honerocheir,155,,,695,Nov 2017
124,Ana Godis,Ana Godis is creating illustrations  (ana_godis),https://graphtreon.com/creator/ana_godis,154,,,605,Feb 2018
125,$1 Adventure Frameworks,$1 Adventure Frameworks is creating RPG Mini Adventures & Side Treks,https://graphtreon.com/creator/user?u=645444,154,$185 per creation,$1.20 per creation,1113,Sep 2016
126,Kip and Kel,Kip and Kel is creating art (kipandkel),https://graphtreon.com/creator/kipandkel,154,,,470,Jun 2018
127,LOVESOUP,"LOVESOUP is creating illustration, enamel pins & other creations (lovesoup)",https://graphtreon.com/creator/lovesoup,146,,,444,Jul 2018
128,Salaise Figurine Studio,Salaise Figurine Studio is creating Miniature painting (salaisefigurinestudio),https://graphtreon.com/creator/salaisefigurinestudio,146,,,920,Mar 2017
129,Darren Carnall,"Darren Carnall is creating miniature painting video tutorials, custom figures and statues (DarrenCarnall)",https://graphtreon.com/creator/DarrenCarnall,146,$712 per month,$4.87 per month,1539,Jul 2015
130,Ash,Ash is creating a monthly Poe Egglesworth pin club (fleacircusdesigns),https://graphtreon.com/creator/fleacircusdesigns,144,,,219,Feb 2019
131,Marco Bucci,Marco Bucci is creating painting tutorials for artists of all levels (marcobucci),https://graphtreon.com/creator/marcobucci,142,$833 per creation,$5.87 per creation,838,Jun 2017
132,Tiny Plant,Tiny Plant is creating a cute sticker club! (tinyplant),https://graphtreon.com/creator/tinyplant,141,,,216,Feb 2019
133,Heather Rooney,Heather Rooney is creating Photorealistic Drawings  & Drawing Videos (heatherrooney),https://graphtreon.com/creator/heatherrooney,141,,,732,Sep 2017
134,Joy San,Joy San is creating A Graphic Novel & Illustrations (sexytuna),https://graphtreon.com/creator/sexytuna,141,,,1366,Jan 2016
135,V-0-3,V-0-3 is creating Paper Roses and Illustrations (v03),https://graphtreon.com/creator/v03,140,,,1215,Jun 2016
136,Rory Blank,Rory Blank is creating Drawing pictures of goblins or sad people or something (roryblank),https://graphtreon.com/creator/roryblank,139,$726 per month,$5.22 per month,736,Sep 2017
137,Tanya Shatseva,"Tanya Shatseva is creating psychedelic art, surreal acrylic and mixed media paintings (tanyashatseva)",https://graphtreon.com/creator/tanyashatseva,139,,,987,Jan 2017
138,White Cloud Pavilion,White Cloud Pavilion is creating Kickass scheduled manhua scanlation for series you love to read (WhiteCloudPavilion),https://graphtreon.com/creator/WhiteCloudPavilion,138,,,1163,Jul 2016
139,Chris Ryniak,Chris Ryniak is creating Friendly Monster Drawings! (chrisryniak),https://graphtreon.com/creator/chrisryniak,137,,,1963,May 2014
140,Daniel's Maps,Daniel's Maps is creating fantasy and RPG maps (danielsmaps),https://graphtreon.com/creator/danielsmaps,136,$273 per map,$2.00 per map,303,Dec 2018
141,The Iconfactory,"The Iconfactory is creating wallpapers, icons & digital goodies! (iconfactory)",https://graphtreon.com/creator/iconfactory,136,,,220,Feb 2019
142,Mavichist,Mavichist is creating GenBrush; map painting and rendering software for world builders (genbrush),https://graphtreon.com/creator/genbrush,136,$431 per month,$3.17 per month,201,Mar 2019
143,Shayla Maddox,Shayla Maddox is creating Circles • Water • Light (shaylamaddox),https://graphtreon.com/creator/shaylamaddox,134,,,2151,Nov 2013
144,Cornelia Hernes Artwork,Cornelia Hernes Artwork is creating Portrait Painting Videos (Corneliahernesartwork),https://graphtreon.com/creator/Corneliahernesartwork,134,,,380,Sep 2018
145,BWusagi,"BWusagi is creating Original Characters, illustration and concept  (bwusagi)",https://graphtreon.com/creator/bwusagi,133,,,1378,Dec 2015
146,Elentori,Elentori is creating Illustrations and Tutorials (elentori),https://graphtreon.com/creator/elentori,133,,,1044,Nov 2016
