Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
901,Gorchart,Gorchart is creating creepy illustrations (gorchart),https://graphtreon.com/creator/gorchart,19,$35 per month,$1.83 per month,316,Nov 2018
902,Camila Vielmond,Camila Vielmond is creating Concept art and illustrations (vielmond),https://graphtreon.com/creator/vielmond,19,$52 per creation,$2.75 per creation,1619,Apr 2015
903,Acrylic Painting Techniques,"Acrylic Painting Techniques is creating acrylic painting, oil painting,artwork (duongtieng)",https://graphtreon.com/creator/duongtieng,19,$19 per month,$0.98 per month,423,Aug 2018
904,Yenkoes,Yenkoes is creating illustration (yenkoes),https://graphtreon.com/creator/yenkoes,19,,,844,Jun 2017
905,StarGlow,StarGlow is creating Cute art & illustrations  (starglow),https://graphtreon.com/creator/starglow,19,,,1382,Dec 2015
906,Chenxira,Chenxira is creating An Art & Enamel Pin Club ♡ (chenxira),https://graphtreon.com/creator/chenxira,19,,,550,Mar 2018
907,Meredith Dillman,Meredith Dillman is creating Intricate Watercolor Fantasy and Tarot Art (meredithdillman),https://graphtreon.com/creator/meredithdillman,19,$30 per month,$1.58 per month,1896,Jul 2014
908,Peta Hewitt,"Peta Hewitt is creating Art, Colouring, Drawing (petahewitt)",https://graphtreon.com/creator/petahewitt,19,$55 per month,$2.87 per month,1426,Nov 2015
909,YAMsgarden,"YAMsgarden is creating animations, comics and illustrations (yamsgarden)",https://graphtreon.com/creator/yamsgarden,19,$178 per month,$9.37 per month,1238,May 2016
910,ToxicSoul77,ToxicSoul77 is creating Artwork and Animation! (ToxicSoul77),https://graphtreon.com/creator/ToxicSoul77,19,$230 per month,$12.11 per month,196,Mar 2019
911,Motion Graphics Place,Motion Graphics Place is creating publishing platform for motion designers (MotionGraphicsPlace),https://graphtreon.com/creator/MotionGraphicsPlace,19,,,185,Mar 2019
912,Khalina Chhay S.A.,Khalina Chhay S.A. is creating Stickers (SweetBbyFox),https://graphtreon.com/creator/SweetBbyFox,19,,,207,Mar 2019
913,Erion Makuo,Erion Makuo is creating original illustration and fanart (erionmakuo),https://graphtreon.com/creator/erionmakuo,19,$21 per month,$1.11 per month,175,Apr 2019
914,Samar Hejazi,Samar Hejazi is creating Conceptual Art  (samarhejazi),https://graphtreon.com/creator/samarhejazi,19,,,484,Jun 2018
915,Steve Gibson,Steve Gibson is creating The Arts Underground of Central PA (The_Arts_Underground),https://graphtreon.com/creator/The_Arts_Underground,19,,,703,Oct 2017
916,Tallulah Cunningham,Tallulah Cunningham is creating fantastical illustrations and colouring pages (Papertigress),https://graphtreon.com/creator/Papertigress,19,,,1575,Jun 2015
917,Sleepersharks,Sleepersharks is creating art (sleepersharks),https://graphtreon.com/creator/sleepersharks,19,$97 per month,$5.13 per month,149,May 2019
918,Daniel Cvammen,"Daniel Cvammen is creating paintings, illustrations and cosplay.  And more.  (cvammen)",https://graphtreon.com/creator/cvammen,19,,,763,Aug 2017
919,Crafty Geeks,Crafty Geeks is creating sewing patterns (craftygeeks),https://graphtreon.com/creator/craftygeeks,19,$128 per month,$6.71 per month,779,Aug 2017
920,adriennczene,adriennczene is creating fan art (adriennczene),https://graphtreon.com/creator/adriennczene,19,,,209,Mar 2019
921,S.N. Balagangadhara,S.N. Balagangadhara is creating scientific research into Indian culture and Western culture (balagangadhara),https://graphtreon.com/creator/balagangadhara,19,,,335,Nov 2018
922,NIK,NIK is creating Background Art (nik0964),https://graphtreon.com/creator/nik0964,19,$100 per Reward Bundle,$5.26 per Reward Bundle,1111,Sep 2016
923,NibelArt,"NibelArt is creating Illustrations, fanart, tutorials, processes (nibelart)",https://graphtreon.com/creator/nibelart,18,,,1239,May 2016
924,Paul Baldowski,Paul Baldowski is creating role-playing content for Cthulhu Hack (cthulhuhack),https://graphtreon.com/creator/cthulhuhack,18,,,321,Nov 2018
925,Eumycota,"Eumycota is creating Nature/Botanical Illustrations , Video Content, Photography   (eumycota)",https://graphtreon.com/creator/eumycota,18,$89 per month,$4.97 per month,564,Mar 2018
926,ikks nayhelm,ikks nayhelm is creating cartoonishly colorful inventive illustrations! (ikks),https://graphtreon.com/creator/ikks,18,$54 per month,$3.01 per month,1788,Nov 2014
927,Lynda Bell,"Lynda Bell is creating Paintings, illustrations and books  (Lyndabellart)",https://graphtreon.com/creator/Lyndabellart,18,,,862,May 2017
928,Byron,Byron is creating an organised artistic mess of his life (byronrempel),https://graphtreon.com/creator/byronrempel,18,$47 per month,$2.61 per month,2339,May 2013
929,Sara Hysong-Shimazu,Sara Hysong-Shimazu is creating Artwork & Photography (sshimazu),https://graphtreon.com/creator/sshimazu,18,,,174,Apr 2019
930,Michael Torres,Michael Torres is creating Fine Art for Exhibition (whoismichaeltorres),https://graphtreon.com/creator/whoismichaeltorres,18,$682 per month,$37.87 per month,419,Aug 2018
931,Ali Akiyama,"Ali Akiyama is creating ""A Rising Star"" - an original, illustrated fairytale (aliakiyama)",https://graphtreon.com/creator/aliakiyama,18,,,985,Jan 2017
932,sasha yosselani,sasha yosselani is creating paintings (sashayoss),https://graphtreon.com/creator/sashayoss,18,,,1478,Sep 2015
933,Bryce Widom,Bryce Widom is creating oil paintings & chalk artworks (brycewidom),https://graphtreon.com/creator/brycewidom,18,,,675,Nov 2017
934,Nat Quintos Uhing,"Nat Quintos Uhing is creating monthly letters of art, stories, and old-fashioned postal love. (scarletletterbox)",https://graphtreon.com/creator/scarletletterbox,18,,,356,Oct 2018
935,Cheery Human Studios,Cheery Human Studios is creating whimsical and colorful illustrations (cheeryhumanstudios),https://graphtreon.com/creator/cheeryhumanstudios,18,,,633,Jan 2018
936,AC,AC is creating Art (ayceeart),https://graphtreon.com/creator/ayceeart,18,,,553,Mar 2018
937,Anna Dittmann,Anna Dittmann is creating digital paintings (annadittmann),https://graphtreon.com/creator/annadittmann,18,$103 per digital painting,$5.70 per digital painting,980,Jan 2017
938,Sean Bodley,Sean Bodley is creating Climate Art (seanbodley),https://graphtreon.com/creator/seanbodley,18,,,699,Nov 2017
939,Emma Louise Wallis,Emma Louise Wallis is creating a cute rat sticker club (ratfrens),https://graphtreon.com/creator/ratfrens,18,$101 per month,$5.63 per month,194,Mar 2019
940,Melinda Beavers,Melinda Beavers is creating Illustration + Art + Books + Zines + Products (melindabeavers),https://graphtreon.com/creator/melindabeavers,18,$51 per month,$2.82 per month,223,Feb 2019
941,black label painting,black label painting is creating art (blacklabeldave),https://graphtreon.com/creator/blacklabeldave,18,$23 per creation,$1.30 per creation,1142,Aug 2016
942,Stasia Holl,Stasia Holl is creating plush toys and accessories (uglyplants),https://graphtreon.com/creator/uglyplants,18,$91 per month,$5.05 per month,425,Aug 2018
943,Mohand  Art,Mohand  Art is creating Sculptures & Paintings (MohandArt),https://graphtreon.com/creator/MohandArt,18,,,833,Jun 2017
944,Sassy Colouring,"Sassy Colouring is creating Colouring Art, books, collections & pages (saskjasassycolouring)",https://graphtreon.com/creator/saskjasassycolouring,18,,,483,Jun 2018
945,Lindsay,Lindsay is creating Samanayrs (samanayrs),https://graphtreon.com/creator/samanayrs,18,$200 per two months of Samanayrs,$11.10 per two months of Samanayrs,2120,Dec 2013
