Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
201,Shantyland,Shantyland is creating swamp jams! (shantyland),https://graphtreon.com/creator/shantyland,93,,,1098,Sep 2016
202,Eric Orchard,Eric Orchard is creating Stories And Pictures (ericorchard),https://graphtreon.com/creator/ericorchard,92,$313 per month,$3.40 per month,1967,May 2014
203,clammyheart,clammyheart is creating embroidered apparel & illustrations! (clammyheart),https://graphtreon.com/creator/clammyheart,91,$830 per month,$9.12 per month,169,Apr 2019
204,Positively Present,Positively Present is creating inspiration (and art!) (positivelypresent),https://graphtreon.com/creator/positivelypresent,90,,,409,Aug 2018
205,Kathleen Jennings,Kathleen Jennings is creating art and illustrations (tanaudel),https://graphtreon.com/creator/tanaudel,90,$497 per month,$5.52 per month,1037,Nov 2016
206,Anna Steinbauer,Anna Steinbauer is creating Art and Tutorials (annasteinbauer),https://graphtreon.com/creator/annasteinbauer,90,,,190,Mar 2019
207,John Conway,John Conway is creating Art (johnconway),https://graphtreon.com/creator/johnconway,87,"$260 per Drawing, Painting, or Animation","$2.99 per Drawing, Painting, or Animation",1695,Feb 2015
208,Oh Caroool,Oh Caroool is creating illustrations and new lifestyle content about Japan (ohcaroool),https://graphtreon.com/creator/ohcaroool,87,"$1,431 per month",$16.45 per month,393,Sep 2018
209,Jess E. Owen,"Jess E. Owen is creating Stories, Artwork, and other Magic!  (authorjessowen)",https://graphtreon.com/creator/authorjessowen,87,,,1036,Nov 2016
210,Puuung,"Puuung is creating Animations, Illustrations about what love is (puuung1)",https://graphtreon.com/creator/puuung1,87,$146 per month,$1.67 per month,771,Aug 2017
211,Creamsherry,Creamsherry is creating dreams in the form of art (creamsherry),https://graphtreon.com/creator/creamsherry,86,$608 per month,$7.07 per month,585,Feb 2018
212,Dave Rapoza,Dave Rapoza is creating StarVeil! (DaveRapoza),https://graphtreon.com/creator/DaveRapoza,86,$185 per comic page,$2.16 per comic page,2195,Sep 2013
213,Anthony,Anthony is creating Miniature Painting Tutorials (piratemonkeypainting),https://graphtreon.com/creator/piratemonkeypainting,86,,,997,Jan 2017
214,Cocadope,Cocadope is creating Illustrations etc!! (cocadope),https://graphtreon.com/creator/cocadope,85,,,861,May 2017
215,Nicole Gustafsson,Nicole Gustafsson is creating paintings featuring adventuring animals and nature. (nimasprout),https://graphtreon.com/creator/nimasprout,85,,,641,Dec 2017
216,Thirdway Industries,Thirdway Industries is creating Playing Cards (thirdwayindustries),https://graphtreon.com/creator/thirdwayindustries,85,,,264,Jan 2019
217,John Magne O. Lisondra,John Magne O. Lisondra is creating painting tutorials (jmlisondra),https://graphtreon.com/creator/jmlisondra,84,,,971,Feb 2017
218,Art By Ali Haider,Art By Ali Haider is creating Hyperrealistic Drawing Tutorials (Artbyalihaider),https://graphtreon.com/creator/Artbyalihaider,84,,,526,Apr 2018
219,Michael Divine - TenThousandVisions,Michael Divine - TenThousandVisions is creating Art (michaeldivine),https://graphtreon.com/creator/michaeldivine,84,$505 per month,$6.01 per month,327,Nov 2018
220,SeerLight,SeerLight is creating Digital illustrations and gif-styled live wallpapers (seerlight),https://graphtreon.com/creator/seerlight,84,$341 per month,$4.05 per month,270,Jan 2019
221,Absolute Ama,Absolute Ama is creating Magical Paintings (absoluteama),https://graphtreon.com/creator/absoluteama,83,$524 per month,$6.32 per month,793,Jul 2017
222,Paco Panda,"Paco Panda is creating Comics, drawings and illustrations (pandapaco)",https://graphtreon.com/creator/pandapaco,83,,,1367,Jan 2016
223,Accell,Accell is creating Illustrations and Comics! (accell),https://graphtreon.com/creator/accell,83,,,430,Jul 2018
224,Nagu,Nagu is creating illustrations (naguri),https://graphtreon.com/creator/naguri,82,,,884,May 2017
225,Diane Alber,Diane Alber is creating children's books and teaching others how to as well! (dianealber),https://graphtreon.com/creator/dianealber,82,,,42,Aug 2019
226,Katy Lipscomb LLC,Katy Lipscomb LLC is creating Collectable Enamel Artist Pins (katylipscomb),https://graphtreon.com/creator/katylipscomb,82,,,426,Aug 2018
227,Zoobey,Zoobey is creating Stygians! (zoobey),https://graphtreon.com/creator/zoobey,82,$818 per month,$9.97 per month,187,Mar 2019
228,Amy Shulke,Amy Shulke is creating Live Coloring Sessions (VanillaArtsCo),https://graphtreon.com/creator/VanillaArtsCo,81,,,1586,May 2015
229,Katie Hofgard,Katie Hofgard is creating Art (Eskiworks),https://graphtreon.com/creator/Eskiworks,81,$481 per month,$5.94 per month,1474,Sep 2015
