Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
701,Marion Boddy-Evans,Marion Boddy-Evans is creating Paintings and Art Projects (marionbe),https://graphtreon.com/creator/marionbe,25,,,686,Nov 2017
702,Epic Duck Studios,Epic Duck Studios is creating Miniature Hobby Content (epicduck),https://graphtreon.com/creator/epicduck,25,$85 per month,$3.41 per month,1419,Nov 2015
703,Sanctuary Publishers,"Sanctuary Publishers is creating Vegan books, veganism advocacy (sanctuarypublishers)",https://graphtreon.com/creator/sanctuarypublishers,25,$154 per month,$6.14 per month,818,Jul 2017
704,Freehand Profit,Freehand Profit is creating unique sneaker masks. (freehandprofit),https://graphtreon.com/creator/freehandprofit,25,,,306,Nov 2018
705,Lumica,"Lumica is creating Comics, drawing & Painting (Lumic4)",https://graphtreon.com/creator/Lumic4,25,$197 per month,$7.89 per month,1348,Jan 2016
706,Sabine,Sabine is creating Abstract Paintings (sabinepaints),https://graphtreon.com/creator/sabinepaints,25,$234 per month,$9.38 per month,421,Aug 2018
707,Joanne Nam,Joanne Nam is creating paintings (joannenam),https://graphtreon.com/creator/joannenam,25,,,690,Nov 2017
708,"Stephen Ives (Stefano Ives, Cloudboy)","Stephen Ives (Stefano Ives, Cloudboy) is creating sculpture, drawing, costume and general mayhem (stephenives)",https://graphtreon.com/creator/stephenives,25,,,489,May 2018
709,Wen,Wen is creating Furry Art (Wen),https://graphtreon.com/creator/Wen,25,$76 per month,$3.04 per month,1727,Jan 2015
710,jill0r at JILLCOSTUMES,"jill0r at JILLCOSTUMES is creating fursuits, costumes and artwork! (jillcostumes)",https://graphtreon.com/creator/jillcostumes,25,,,1207,Jun 2016
711,botjira,botjira is creating Illustration (botjira),https://graphtreon.com/creator/botjira,25,,,220,Feb 2019
712,Kimberly Santini,Kimberly Santini is creating original artwork and providing random peeks inside her head (KimberlyKellySantini),https://graphtreon.com/creator/KimberlyKellySantini,25,,,183,Apr 2019
713,Galaxara,"Galaxara is creating Galactic & Magical scenes, creatures and characters (galaxara)",https://graphtreon.com/creator/galaxara,24,$188 per month,$7.82 per month,663,Dec 2017
714,Noah Kroese,Noah Kroese is creating Illustrations and Comics (noahkroese),https://graphtreon.com/creator/noahkroese,24,$192 per month,$7.99 per month,378,Sep 2018
715,Bonnita Doodles,Bonnita Doodles is creating Photo Realistic portraits and paper cutting templates (bonnitadoodles),https://graphtreon.com/creator/bonnitadoodles,24,$148 per month,$6.15 per month,896,Apr 2017
716,Mimochai,Mimochai is creating an illustrated story world  (mimochai),https://graphtreon.com/creator/mimochai,24,,,551,Mar 2018
717,Stephanie Inagaki,"Stephanie Inagaki is creating Fine Art, Illustration, Jewelry, Accessories, and Sculpture  (stephanieinagaki)",https://graphtreon.com/creator/stephanieinagaki,24,,,803,Jul 2017
718,Megan Levens,Megan Levens is creating Comics and illustration (meganlevens),https://graphtreon.com/creator/meganlevens,24,$197 per month,$8.19 per month,498,May 2018
719,Francine Bridge,Francine Bridge is creating Illustration and Freelance Work (Witnesstheabsurd),https://graphtreon.com/creator/Witnesstheabsurd,24,$64 per month,$2.67 per month,1330,Feb 2016
720,Adam Parsons,Adam Parsons is creating Digital Art & Children's Book Illustration drawings & tutorials (adamparsonsart),https://graphtreon.com/creator/adamparsonsart,24,,,209,Mar 2019
721,Valérie B.,Valérie B. is creating dreamy imagery ♡ (valeriebastille),https://graphtreon.com/creator/valeriebastille,24,,,1365,Jan 2016
722,Pamela,"Pamela is creating emojos, avatars and traditional art (flan_foundry)",https://graphtreon.com/creator/flan_foundry,24,$184 per month,$7.66 per month,337,Oct 2018
723,Constellate Publishing E-Zine,Constellate Publishing E-Zine is creating A Speculative Fiction E-Zine (constellatepub),https://graphtreon.com/creator/constellatepub,24,$109 per month,$4.54 per month,333,Nov 2018
724,Anthony Christou,Anthony Christou is creating Fantasy Art & More (AnthonyChristou),https://graphtreon.com/creator/AnthonyChristou,24,$350 per month,$14.59 per month,1648,Mar 2015
725,moon,"moon is creating art, drawings paintings and more… (moonmxtr)",https://graphtreon.com/creator/moonmxtr,24,,,884,May 2017
726,Static Creature,Static Creature is creating creatures (staticcreature),https://graphtreon.com/creator/staticcreature,24,,,452,Jul 2018
727,himachan,himachan is creating Webtoon (himachan),https://graphtreon.com/creator/himachan,24,$62 per month,$2.57 per month,1186,Jul 2016
728,Matt Dixon,Matt Dixon is creating Digital Paintings (MattDixon),https://graphtreon.com/creator/MattDixon,24,$50 per month,$2.09 per month,1541,Jul 2015
