Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
301,Owen Cyclops,Owen Cyclops is creating new mystical aesthetica (owencyclops),https://graphtreon.com/creator/owencyclops,62,,,363,Oct 2018
302,Shattered-Earth,Shattered-Earth is creating Pin Packs & Art (ShatteredEarth),https://graphtreon.com/creator/ShatteredEarth,62,,,394,Sep 2018
303,Paul Russel,Paul Russel is creating Birthday Illustrations! (doctorabominable),https://graphtreon.com/creator/doctorabominable,62,$398 per month,$6.41 per month,761,Sep 2017
304,Allen Panakal,Allen Panakal is creating science fiction worlds through storytelling & illustrations. (allenpanakal),https://graphtreon.com/creator/allenpanakal,62,$162 per month,$2.61 per month,537,Apr 2018
305,Megan Lara,Megan Lara is creating Artwork (MeganLara),https://graphtreon.com/creator/MeganLara,62,,,1356,Jan 2016
306,Fireside Textiles,Fireside Textiles is creating Screen Printed Fabric and Stitchable Prints (FiresideTextiles),https://graphtreon.com/creator/FiresideTextiles,62,,,726,Oct 2017
307,Sara Richard,Sara Richard is creating Fine Art & Illustration (SaraRichard),https://graphtreon.com/creator/SaraRichard,62,,,1188,Jul 2016
308,Cyarin,Cyarin is creating art and shitposts (cyarin),https://graphtreon.com/creator/cyarin,61,,,527,Apr 2018
309,Anastasia-berry,"Anastasia-berry is creating Illustrations, Tutorials and Referenses (AnastasiaDeg)",https://graphtreon.com/creator/AnastasiaDeg,61,$269 per month,$4.40 per month,1165,Jul 2016
310,Tachibana Lita,Tachibana Lita is creating Manga and Illustrations (lita426t),https://graphtreon.com/creator/lita426t,61,,,1468,Sep 2015
311,Lorena Lammer,Lorena Lammer is creating The PETRICHOR Story Book (lorenalammer),https://graphtreon.com/creator/lorenalammer,61,,,963,Feb 2017
312,Fran Wilde,"Fran Wilde is creating things with ink & pixels: poems, drawings, ministories... & more (franwilde)",https://graphtreon.com/creator/franwilde,60,$285 per month,$4.76 per month,629,Jan 2018
313,Voyage dans l'espace,Voyage dans l'espace is creating Balado (voyagedanslespace),https://graphtreon.com/creator/voyagedanslespace,60,,,422,Aug 2018
314,Little Miss Paintbrush,Little Miss Paintbrush is creating cute drawings and stationery (chichilittle),https://graphtreon.com/creator/chichilittle,60,,,559,Mar 2018
315,Jonas Lau Markussen,Jonas Lau Markussen is creating illustrated content about the Viking age (jonaslaumarkussen),https://graphtreon.com/creator/jonaslaumarkussen,60,$257 per month,$4.28 per month,784,Aug 2017
316,Aurora the Flying Rainbow Lasagne,"Aurora the Flying Rainbow Lasagne is creating DNA transforming hyper-dimensional portals, paintings, recorded  (flyingrainbowlasagne)",https://graphtreon.com/creator/flyingrainbowlasagne,60,$864 per month,$14.40 per month,1146,Aug 2016
317,Nicole Thornwolf Dornsife,Nicole Thornwolf Dornsife is creating wildlife and fantasy artwork (Thornwolf),https://graphtreon.com/creator/Thornwolf,59,$353 per month,$5.99 per month,2038,Mar 2014
318,Rasta Maice Painting,Rasta Maice Painting is creating Painting Videos (Rastamaicepainting),https://graphtreon.com/creator/Rastamaicepainting,59,,,672,Nov 2017
319,Christian's Painting Studio,Christian's Painting Studio is creating Step by Step Miniature Painting (christianspaintingstudio),https://graphtreon.com/creator/christianspaintingstudio,59,,,610,Jan 2018
320,Melissa George,Melissa George is creating Reborn Babies and Art Dolls (mgdolls),https://graphtreon.com/creator/mgdolls,59,,,605,Feb 2018
321,Dongjun Lu,Dongjun Lu is creating Concept Art & Illustration Lessons (ludongjun),https://graphtreon.com/creator/ludongjun,59,,,1492,Sep 2015
322,Onyrica,Onyrica is creating illustrations & fanart (+art community) (onyrica),https://graphtreon.com/creator/onyrica,59,,,701,Oct 2017
323,Watch It Paint It,Watch It Paint It is creating miniature painting tutorials (WatchItPaintIt),https://graphtreon.com/creator/WatchItPaintIt,58,$198 per month,$3.41 per month,931,Mar 2017
324,Angela R. Sasser,"Angela R. Sasser is creating Art Nouveau Paintings, Art Tutorials,  & Coloring Pages (angelasasser)",https://graphtreon.com/creator/angelasasser,58,$230 per month,$3.97 per month,2063,Feb 2014
325,Stephanie Aune,"Stephanie Aune is creating Mixed Media Artwork, Altered Books, Junk Journals, Art Journals (StephanieAuneDesign)",https://graphtreon.com/creator/StephanieAuneDesign,58,,,274,Jan 2019
326,Shitty Watercolour,Shitty Watercolour is creating fairly mediocre watercolours (shitty),https://graphtreon.com/creator/shitty,58,,,570,Mar 2018
327,Ocean Club,"Ocean Club is creating stickers, prints, and happy things (Oceanclub)",https://graphtreon.com/creator/Oceanclub,58,,,638,Jan 2018
328,Jyundee,"Jyundee is creating art, illustrations, tutorials (jyundee)",https://graphtreon.com/creator/jyundee,58,,,228,Feb 2019
329,Alioth Fox,Alioth Fox is creating adorable furry art! (AliothFox),https://graphtreon.com/creator/AliothFox,58,,,1519,Aug 2015
330,Shilkefair,Shilkefair is creating webtoon and illustration (selinamoonbride),https://graphtreon.com/creator/selinamoonbride,58,$182 per month,$3.14 per month,829,Jun 2017
331,Katie Croonenberghs,"Katie Croonenberghs is creating visions of fantasy, nature & dreams.  (Kamakru)",https://graphtreon.com/creator/Kamakru,57,,,444,Jul 2018
332,Monica L Knighton,Monica L Knighton is creating The Stolen Child Tarot (stolenchildtarot),https://graphtreon.com/creator/stolenchildtarot,57,$182 per new card,$3.19 per new card,1784,Nov 2014
333,magodesu,"magodesu is creating Illustration,Manga (magodesu)",https://graphtreon.com/creator/magodesu,56,$144 per month,$2.56 per month,524,Apr 2018
334,Crystal Fae,Crystal Fae is creating Artwork! (crystalfae),https://graphtreon.com/creator/crystalfae,56,,,1529,Jul 2015
335,lurian,lurian is creating sticker club (lurian),https://graphtreon.com/creator/lurian,56,,,2030,Mar 2014
336,Emily Lubanko,"Emily Lubanko is creating art, tutorials, and tarot (emilylubanko)",https://graphtreon.com/creator/emilylubanko,56,$339 per month,$6.05 per month,607,Feb 2018
337,Liz Danforth,Liz Danforth is creating Mages and Sages (LizDanforth),https://graphtreon.com/creator/LizDanforth,56,$366 per month,$6.54 per month,998,Jan 2017
338,Collette J Ellis,Collette J Ellis is creating Dragons and Mythical Beasts (ColletteJEllis),https://graphtreon.com/creator/ColletteJEllis,56,$328 per month,$5.85 per month,1351,Jan 2016
339,Clive5art,Clive5art is creating Acrylic Painting Lessons (Clive5Art),https://graphtreon.com/creator/Clive5Art,56,$162 per month,$2.89 per month,1634,Apr 2015
340,PenelopeLovePrints,"PenelopeLovePrints is creating Pins, Watercolor Paintings, Art (penelopeloveprints)",https://graphtreon.com/creator/penelopeloveprints,55,,,904,Apr 2017
341,Grimscribe Press,Grimscribe Press is creating VASTARIEN: A LITERARY JOURNAL and other weird publications. (grimscribepress),https://graphtreon.com/creator/grimscribepress,55,$671 per month,$12.20 per month,423,Aug 2018
342,Xelgot,Xelgot is creating Concept Art and Illustrations (xelgot),https://graphtreon.com/creator/xelgot,55,,,1115,Sep 2016
343,theCecile,theCecile is creating Digital Art and Anime Painting (thececile),https://graphtreon.com/creator/thececile,55,,,464,Jun 2018
344,Kai Akaresh,Kai Akaresh is creating Manga & Illustrations (khaoskai),https://graphtreon.com/creator/khaoskai,54,$460 per month,$8.52 per month,619,Jan 2018
345,Kelsey Beckett,Kelsey Beckett is creating Paintings (kelseybeckett),https://graphtreon.com/creator/kelseybeckett,54,,,804,Jul 2017
346,David Kassan,David Kassan is creating a painting of  Eleven Survivors of Auschwitz to be exhibited at  (davidkassan),https://graphtreon.com/creator/davidkassan,54,$588 per month,$10.89 per month,884,May 2017
347,inki-Drop,inki-Drop is creating pin & sticker club (inkiDrop),https://graphtreon.com/creator/inkiDrop,53,,,1324,Feb 2016
348,Vianna Szabo,"Vianna Szabo is creating fine art tutorials in pastel, oil and watercolor (viannaszabo)",https://graphtreon.com/creator/viannaszabo,53,,,198,Mar 2019
349,Nick Trujillo,Nick Trujillo is creating SLAPS Monthly Sticker Club (slaps),https://graphtreon.com/creator/slaps,53,$237 per month,$4.47 per month,1021,Dec 2016
350,Steff Morris,Steff Morris is creating Art and Plush (trinkety),https://graphtreon.com/creator/trinkety,53,,,1435,Oct 2015
351,Marie-Noelle Wurm,"Marie-Noelle Wurm is creating art that is delicate, dreamlike, and sometimes, a little dark (marienoellewurm)",https://graphtreon.com/creator/marienoellewurm,53,$221 per month,$4.18 per month,1719,Jan 2015
352,Cloverkin,Cloverkin is creating fantasy illustrations and stories! (cloverkin),https://graphtreon.com/creator/cloverkin,53,$241 per month,$4.55 per month,812,Jul 2017
353,Thomas  Boatwright,"Thomas  Boatwright is creating creepy cute devils, dead things, and werewolf Wednesdays (boatwrightartwork)",https://graphtreon.com/creator/boatwrightartwork,53,,,1966,May 2014
354,Jonah Lobe,"Jonah Lobe is creating Fantasy Art, Art Education, & Worldbuilding (JonahLobe)",https://graphtreon.com/creator/JonahLobe,53,,,413,Aug 2018
355,Lowah,"Lowah is creating Illustrations, Doodles, and Comics (Lowah)",https://graphtreon.com/creator/Lowah,52,,,930,Mar 2017
356,Dragons of Wales,Dragons of Wales is creating The Dragon Journals (dragonsofwales),https://graphtreon.com/creator/dragonsofwales,52,$235 per month,$4.53 per month,931,Mar 2017
357,Darlene Nguyen,Darlene Nguyen is creating Drawing Tutorials (RapidFireArt),https://graphtreon.com/creator/RapidFireArt,52,$194 per month,$3.73 per month,889,Apr 2017
