Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
501,Jonny Gray,Jonny Gray is creating Roleplaying Illustrations (JonnyGray),https://graphtreon.com/creator/JonnyGray,36,$124 per month,$3.45 per month,1268,Apr 2016
502,Julia Klein,Julia Klein is creating Comics & Illustrations (doodlejule),https://graphtreon.com/creator/doodlejule,36,$192 per month,$5.35 per month,899,Apr 2017
503,Aaron Holley,Aaron Holley is creating Art for the New Dawn Series and Boxwood Board Designs (boxwoodboarddesigns),https://graphtreon.com/creator/boxwoodboarddesigns,36,,,356,Oct 2018
504,Hannah JS Davis,Hannah JS Davis is creating Fantasy and Nature Illustrations (SummerDragoness),https://graphtreon.com/creator/SummerDragoness,36,$228 per month,$6.33 per month,1291,Mar 2016
505,Green Glutton,Green Glutton is creating digital art! (GreenGlutton),https://graphtreon.com/creator/GreenGlutton,36,,,1718,Jan 2015
506,Dylan Louis Monroe,Dylan Louis Monroe is creating Deep State Mapping Project & Q-MAP (dylanlouismonroe),https://graphtreon.com/creator/dylanlouismonroe,36,$267 per month,$7.43 per month,552,Mar 2018
507,Fat Goblin Games,Fat Goblin Games is creating Fantasy Stock Art (fatgoblingames),https://graphtreon.com/creator/fatgoblingames,36,$101 per creation,$2.82 per creation,688,Nov 2017
508,flurgburgler,flurgburgler is creating illustrations & fan art (flurgburgler),https://graphtreon.com/creator/flurgburgler,36,$118 per month,$3.27 per month,673,Nov 2017
509,Callista Hermin,Callista Hermin is creating Webtoon and Illustrations (callistahermin),https://graphtreon.com/creator/callistahermin,36,,,708,Oct 2017
510,bean baguette,bean baguette is creating illustrations & Dragon Keepers! (thebeanbaguette),https://graphtreon.com/creator/thebeanbaguette,36,,,1001,Jan 2017
511,Janna Prosvirina,"Janna Prosvirina is creating illustrations, coloring pages and coloring books (jannafairyart)",https://graphtreon.com/creator/jannafairyart,36,,,372,Sep 2018
512,JEREMIAH KETNER,"JEREMIAH KETNER is creating Paintings, Drawings, Custom Toys and Prints (smallandround)",https://graphtreon.com/creator/smallandround,36,,,955,Feb 2017
513,itsdanfango,itsdanfango is creating digital artwork & illustrations (itsdanfango),https://graphtreon.com/creator/itsdanfango,36,$104 per month,$2.90 per month,686,Nov 2017
