Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,337",AGENT ROSE,"AGENT ROSE is creating ART, ILLUSTRATION, & ANGEL IN BONDAGE (SECRET SERVICE STORY) (agentrosehq)",https://graphtreon.com/creator/agentrosehq,12,$64 per month,$5.31 per month,244,Jan 2019
"1,338",Vanessa Cole,Vanessa Cole is creating Art (vkcoleart),https://graphtreon.com/creator/vkcoleart,12,$98 per month,$8.15 per month,558,Mar 2018
"1,339",Katie Sahm,Katie Sahm is creating Fine Art (katiesahm),https://graphtreon.com/creator/katiesahm,12,$241 per month,$20.08 per month,223,Feb 2019
"1,340",Li Kovacs,"Li Kovacs is creating Digital / Traditional Art, & Illustrations. (likovacs)",https://graphtreon.com/creator/likovacs,12,,,1368,Jan 2016
"1,341",Lin Romanov,"Lin Romanov is creating digital illustration, concept art, oil paintings (rlinarts)",https://graphtreon.com/creator/rlinarts,12,,,156,Apr 2019
"1,342",Bhagat Singh Bedi,"Bhagat Singh Bedi is creating Epic Paintings of Gods, Gurus and Guardians (sikhiart)",https://graphtreon.com/creator/sikhiart,12,$226 per month,$18.81 per month,864,May 2017
"1,343",Mia Minerva,Mia Minerva is creating Illustrations (miaminerva),https://graphtreon.com/creator/miaminerva,12,$67 per month,$5.61 per month,368,Sep 2018
"1,344",FSketcher,FSketcher is creating fashion drawing tutorials (fsketcher),https://graphtreon.com/creator/fsketcher,12,$79 per month,$6.59 per month,829,Jun 2017
"1,345",Jeffchendesigns,Jeffchendesigns is creating Digital Art and Affordable Classes (jeffchendesigns),https://graphtreon.com/creator/jeffchendesigns,12,$747 per month,$62.22 per month,455,Jul 2018
"1,346",Shirley Kanyon,Shirley Kanyon is creating art (Shirleykanyon),https://graphtreon.com/creator/Shirleykanyon,12,,,432,Jul 2018
"1,347",Samanthadoodles,Samanthadoodles is creating Illustrations (samanthadoodles),https://graphtreon.com/creator/samanthadoodles,12,,,1646,Mar 2015
"1,348",viWorksART,viWorksART is creating Concept Art Illustrations for Coloring on PDF file (viworksart),https://graphtreon.com/creator/viworksart,12,,,1131,Aug 2016
