Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,401",wendy armfield,wendy armfield is creating a ministry of Joyful Wonderment through her paintings. (wendyarmfield),https://graphtreon.com/creator/wendyarmfield,11,$134 per month,$12.16 per month,943,Mar 2017
"1,402",celty,celty is creating art! (necrophade),https://graphtreon.com/creator/necrophade,11,$62 per month,$5.60 per month,983,Jan 2017
"1,403",Shawn Langley,Shawn Langley is creating Comics & Illustrations (shawnlangley),https://graphtreon.com/creator/shawnlangley,11,,,1273,Apr 2016
"1,404",Alyssa McCarthy,"Alyssa McCarthy is creating a chicken webcomic called Gallus, and fantasy illustrations! (AlyMccArt)",https://graphtreon.com/creator/AlyMccArt,11,$44 per month,$3.98 per month,1051,Nov 2016
"1,405",Draconity.org,Draconity.org is creating Commission Vouchers (dorgcommissionvouchers),https://graphtreon.com/creator/dorgcommissionvouchers,11,$65 per month,$5.87 per month,514,May 2018
"1,406",Chelsea Dirck,"Chelsea Dirck is creating Art, Drawings, and Prints  (chelseadirck)",https://graphtreon.com/creator/chelseadirck,11,$48 per month,$4.35 per month,632,Jan 2018
"1,407",Derek Myers,Derek Myers is creating Daily Drawings (derekthedeliman),https://graphtreon.com/creator/derekthedeliman,11,,,1455,Oct 2015
"1,408",Freeze,Freeze is creating Art (freezepop88),https://graphtreon.com/creator/freezepop88,11,$196 per month,$17.81 per month,1908,Jul 2014
"1,409",Tyler Feder,Tyler Feder is creating illustrations (roaringsoftly),https://graphtreon.com/creator/roaringsoftly,11,$17 per month,$1.50 per month,1324,Feb 2016
"1,410",Plague Daemon,"Plague Daemon is creating Sci Fi, Fantasy, and Creature Illustration",https://graphtreon.com/creator/user?u=12672560,11,,,427,Aug 2018
"1,411",yoyoleif,yoyoleif is creating digital illustrations (yoyoleif),https://graphtreon.com/creator/yoyoleif,11,$33 per month,$3.01 per month,1536,Jul 2015
"1,412",Little Chmura,"Little Chmura is creating Illustrations, Comics and Animation (littlechmura)",https://graphtreon.com/creator/littlechmura,11,,,699,Nov 2017
"1,413",Vladinsky,Vladinsky is creating mixed media paintings usually on a large scale (vladinsky),https://graphtreon.com/creator/vladinsky,11,,,860,May 2017
"1,414",Avalon Clare Illustration,Avalon Clare Illustration is creating illustrations (AvalonClareIllustration),https://graphtreon.com/creator/AvalonClareIllustration,11,$136 per month,$12.40 per month,963,Feb 2017
"1,415",Hal Moore,"Hal Moore is creating Drawings, Paintings, and Digital Art (LeakyPenProductions)",https://graphtreon.com/creator/LeakyPenProductions,11,$120 per month,$10.87 per month,512,May 2018
