Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
601,tatii lange,tatii lange is creating Fantasy Digital Illustrations (tatiilange),https://graphtreon.com/creator/tatiilange,29,$363 per month,$12.53 per month,1435,Oct 2015
602,Tom Beland,"Tom Beland is creating Cartoons, illustrations, commissions & rough sketches (tombeland)",https://graphtreon.com/creator/tombeland,29,,,1212,Jun 2016
603,Samster,Samster is creating Weight Gain Fiction & Illustrations (samster),https://graphtreon.com/creator/samster,29,$96 per Per New Story Posted,$3.32 per Per New Story Posted,1374,Dec 2015
604,Winklebeebee,Winklebeebee is creating Artwork & Designs (winklebeebee),https://graphtreon.com/creator/winklebeebee,29,$84 per month,$2.89 per month,367,Sep 2018
605,PaintyKat,"PaintyKat is creating art tutorials, painting lessons, watercolors, arts, greeting car (paintykat)",https://graphtreon.com/creator/paintykat,29,,,558,Mar 2018
606,Bandaru,Bandaru is creating Miniature Painting Tutorials (BandaInku),https://graphtreon.com/creator/BandaInku,29,$104 per month,$3.60 per month,741,Sep 2017
607,pascal blanche,"pascal blanche is creating Illustrations, covers, 3D models,talks about inspirations  (pascal_blanche)",https://graphtreon.com/creator/pascal_blanche,29,$218 per illustration ,$7.51 per illustration ,2023,Mar 2014
608,Louisa Firethorne,Louisa Firethorne is creating Visionary Artwork + Digital Painting (louisafirethorne),https://graphtreon.com/creator/louisafirethorne,29,$179 per creation,$6.18 per creation,908,Apr 2017
609,Hakobore,Hakobore is creating pretty pictures (hakobore),https://graphtreon.com/creator/hakobore,29,,,643,Dec 2017
610,Eeva Nikunen,Eeva Nikunen is creating oil paintings and illustrations. (eevanikunen),https://graphtreon.com/creator/eevanikunen,29,$96 per month,$3.29 per month,436,Jul 2018
611,Valerie Rose,"Valerie Rose is creating Illustrations, Comics, and Zines (wolfzine)",https://graphtreon.com/creator/wolfzine,29,$333 per zine,$11.48 per zine,528,Apr 2018
612,Leah Pantéa,Leah Pantéa is creating paintings + drawings + friendships (llpfineart),https://graphtreon.com/creator/llpfineart,29,$155 per month,$5.35 per month,793,Jul 2017
613,Sedeto,"Sedeto is creating colorful illustrations, doujinshi and NSFW stuff (Sedeto)",https://graphtreon.com/creator/Sedeto,29,$294 per month,$10.12 per month,175,Apr 2019
614,Beka Duke,Beka Duke is creating monsters! (thedrawingduke),https://graphtreon.com/creator/thedrawingduke,29,$105 per month,$3.63 per month,1591,May 2015
615,Jim,Jim is creating Microsoft Paint art for strangers (jimllpaintit),https://graphtreon.com/creator/jimllpaintit,29,,,895,Apr 2017
616,Misty Figs Gift Shop,"Misty Figs Gift Shop is creating Custom Funko Pops, Illustrations, and Other Gift Shop creations (mistyfigs)",https://graphtreon.com/creator/mistyfigs,29,,,1350,Jan 2016
617,Christopher X Sullivan,Christopher X Sullivan is creating a queer memoir. (ChristopherXSullivan),https://graphtreon.com/creator/ChristopherXSullivan,29,$114 per month,$3.93 per month,657,Dec 2017
618,Mary Purdie,Mary Purdie is creating illustrations and telling stories (drawnbymary),https://graphtreon.com/creator/drawnbymary,29,,,548,Apr 2018
619,Samuel Benson Miniatures,"Samuel Benson Miniatures is creating Miniature painting artwork, tutorials and guides (samuelbensonminiatures)",https://graphtreon.com/creator/samuelbensonminiatures,29,$93 per month,$3.22 per month,1114,Sep 2016
620,KM Steere,"KM Steere is creating animal, fantasy and botanical art & illustration. (keymonster)",https://graphtreon.com/creator/keymonster,28,,,275,Dec 2018
621,"AWE Studio, ArtWithEveryone","AWE Studio, ArtWithEveryone is creating Drawing and Painting Tutorials for all ages and skill levels! (AWEStudio)",https://graphtreon.com/creator/AWEStudio,28,,,394,Sep 2018
622,stablercake,"stablercake is creating paintings, drawings, and merch of colorful critters! (stablercake)",https://graphtreon.com/creator/stablercake,28,$215 per month,$7.68 per month,364,Oct 2018
623,Caitlin Karolczak,Caitlin Karolczak is creating fine art (StudioSilenti),https://graphtreon.com/creator/StudioSilenti,28,$361 per month,$12.88 per month,563,Mar 2018
624,Ben J Adams,"Ben J Adams is creating Illustrations, drawings, doodles, comics, paintings, sketches (benjadams)",https://graphtreon.com/creator/benjadams,28,,,1948,Jun 2014
625,Bella Ortiz-Wren,Bella Ortiz-Wren is creating their smokin' hot art practice (wrenortiz),https://graphtreon.com/creator/wrenortiz,28,$243 per month,$8.67 per month,186,Mar 2019
626,Raemion,Raemion is creating Watercolor paintings (raemion),https://graphtreon.com/creator/raemion,28,$130 per month,$4.63 per month,550,Mar 2018
627,NADYART,NADYART is creating Whimsical illustrations (nadyart),https://graphtreon.com/creator/nadyart,28,,,1372,Dec 2015
628,Tom Baxa,"Tom Baxa is creating Zombie Coven, Dark Art and Fiction (baxaart)",https://graphtreon.com/creator/baxaart,28,,,594,Feb 2018
629,One Golden Sun,One Golden Sun is creating magic and wonder... in the form of illustrations  (onegoldensun),https://graphtreon.com/creator/onegoldensun,28,$254 per month,$9.08 per month,1239,May 2016
630,Zimt Handmade,Zimt Handmade is creating Beadwork & Needle Felting (zimthandmade),https://graphtreon.com/creator/zimthandmade,28,$91 per month,$3.27 per month,1317,Feb 2016
631,John Stevenson,John Stevenson is creating Maps and Illustrations as Imagine Better Worlds (imaginebetterworlds),https://graphtreon.com/creator/imaginebetterworlds,28,$46 per month,$1.64 per month,514,May 2018
632,Noël Kalmus,Noël Kalmus is creating sketch journals and illustrations (noelkalmus),https://graphtreon.com/creator/noelkalmus,28,$93 per month,$3.33 per month,357,Oct 2018
633,Scaleeth,Scaleeth is creating Art (Scaleeth),https://graphtreon.com/creator/Scaleeth,28,$392 per month,$14.01 per month,822,Jul 2017
634,MG,MG is creating Anime Renders (mganimerenders),https://graphtreon.com/creator/mganimerenders,28,,,975,Jan 2017
635,Dandy,"Dandy is creating Pupcakes & Cupcats merch, Illustrations and more! (pupcakescupcats)",https://graphtreon.com/creator/pupcakescupcats,28,,,948,Feb 2017
636,Odin,Odin is creating art tutorials (studio_odin),https://graphtreon.com/creator/studio_odin,27,$172 per month,$6.37 per month,1330,Feb 2016
