Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,601",AMMUNITION,AMMUNITION is creating digital illustrations of a fluffy variety (fighterjet),https://graphtreon.com/creator/fighterjet,10,$77 per month,$7.68 per month,1078,Oct 2016
"1,602",Heather Hudson,Heather Hudson is creating artwork and stories (HeatherHudson),https://graphtreon.com/creator/HeatherHudson,10,,,510,May 2018
"1,603",Ty Meier,Ty Meier is creating Screenprinted T-Shirts and Pen & Ink artwork (SunnyDaysTShirts),https://graphtreon.com/creator/SunnyDaysTShirts,10,$239 per creation,$23.85 per creation,751,Sep 2017
"1,604",Alaine Baybayan,"Alaine Baybayan is creating Animations, Art, and Illustrations (alaylays)",https://graphtreon.com/creator/alaylays,10,,,152,May 2019
"1,605",Nicola Saviori,Nicola Saviori is creating Drawings and Illustrations (NicolaSaviori),https://graphtreon.com/creator/NicolaSaviori,10,$25 per creation,$2.52 per creation,1093,Oct 2016
"1,606",z,"z is creating Ink Illustrations, Art Prints and an Online Store (zthecreative)",https://graphtreon.com/creator/zthecreative,10,$22 per month,$2.21 per month,639,Jan 2018
"1,607",Asteyni,Asteyni is creating Digital Art and Illustrations (asteyni),https://graphtreon.com/creator/asteyni,10,$56 per month,$5.56 per month,458,Jul 2018
"1,608",Flufflix,Flufflix is creating Glittery Art (flufflix),https://graphtreon.com/creator/flufflix,10,,,381,Sep 2018
"1,609",Kristin,"Kristin is creating Arts, Charts & Stories from Science, Code, & Data  (KristinHenry)",https://graphtreon.com/creator/KristinHenry,10,$71 per month,$7.07 per month,1298,Mar 2016
"1,610",Jim DeVona,Jim DeVona is creating Portrait Postcards (portraits),https://graphtreon.com/creator/portraits,10,$73 per month,$7.32 per month,1119,Sep 2016
"1,611",Tingxart,Tingxart is creating Illustrations (tingxart),https://graphtreon.com/creator/tingxart,10,,,64,Jul 2019
"1,612",Megan Withey,Megan Withey is creating Fantasy and pop-culture watercolor paintings (MeganWithey),https://graphtreon.com/creator/MeganWithey,10,,,392,Sep 2018
"1,613",tewi,tewi is creating Digital Artwork (tewi),https://graphtreon.com/creator/tewi,10,$27 per month,$2.73 per month,1040,Nov 2016
"1,614",An Mien,"An Mien is creating Digital Paintings, Illustrations, Doodles (snowfawns)",https://graphtreon.com/creator/snowfawns,10,,,843,Jun 2017
"1,615",Baby Fwo,Baby Fwo is creating Cute SFW Babyfur and Pamp Arts^^ (babyfwo),https://graphtreon.com/creator/babyfwo,10,$39 per month,$3.87 per month,434,Jul 2018
"1,616",RodGon,RodGon is creating Illustrations and AWESOME THINGAMAGIGS! :D (Rodgon),https://graphtreon.com/creator/Rodgon,10,$83 per month,$8.31 per month,744,Sep 2017
"1,617",Joy-Based Living,Joy-Based Living is creating a world where joy is empowered and action is inspired. (joybasedliving),https://graphtreon.com/creator/joybasedliving,10,$191 per month,$19.08 per month,949,Feb 2017
"1,618",greenlittle,greenlittle is creating paintings (fluttershy520),https://graphtreon.com/creator/fluttershy520,10,,,492,May 2018
"1,619",A-minus,A-minus is creating digital weirdery (aminus),https://graphtreon.com/creator/aminus,10,$23 per month,$2.31 per month,599,Feb 2018
"1,620",Apola Pets,"Apola Pets is creating Art, Animal Education and Rescue (Apolapets)",https://graphtreon.com/creator/Apolapets,10,$80 per month,$7.99 per month,513,May 2018
"1,621",NotEnoughApples,NotEnoughApples is creating Art! (NotEnoughApples),https://graphtreon.com/creator/NotEnoughApples,10,$131 per month,$13.09 per month,1344,Jan 2016
"1,622",Mitch Bentley,Mitch Bentley is creating Visionary SF&F Art (MitchBentley),https://graphtreon.com/creator/MitchBentley,10,$82 per month,$8.25 per month,408,Aug 2018
"1,623",Cherie Bruce - SquidInk Studios,Cherie Bruce - SquidInk Studios is creating Art and Tarot Cards! (squidink),https://graphtreon.com/creator/squidink,10,$15 per month,$1.46 per month,1256,Apr 2016
