Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
801,Vayreceane,"Vayreceane is creating Emojis, Illustrations, and Paintings (vayreceane)",https://graphtreon.com/creator/vayreceane,22,$380 per month,$17.27 per month,795,Jul 2017
802,Kate Kennedy,Kate Kennedy is creating Animal Illustrations (Katekennedyart),https://graphtreon.com/creator/Katekennedyart,22,,,811,Jul 2017
803,Corina St. Martin,Corina St. Martin is creating Whimsical Candy Characters and Animals (corinastmartin),https://graphtreon.com/creator/corinastmartin,22,$44 per month,$1.99 per month,934,Mar 2017
804,Kaitlynn Peavler,Kaitlynn Peavler is creating Stock Illustrations (thedicegoddess),https://graphtreon.com/creator/thedicegoddess,22,$29 per illustration,$1.31 per illustration,1709,Jan 2015
805,Kaycee Anseth,"Kaycee Anseth is creating collages, paintings, drawings, words, songs, soul (kayceeanseth)",https://graphtreon.com/creator/kayceeanseth,21,$239 per month,$11.38 per month,1621,Apr 2015
806,KinoKreations,"KinoKreations is creating Artwork, Designs and Stickers (kinokreations)",https://graphtreon.com/creator/kinokreations,21,$174 per month,$8.30 per month,383,Sep 2018
807,Maril Race,Maril Race is creating Illustrations and Comics (Ophibell),https://graphtreon.com/creator/Ophibell,21,,,1869,Aug 2014
808,Mathieu Fontaine,Mathieu Fontaine is creating miniature painting from his studio to your computer. (mathieufontaine),https://graphtreon.com/creator/mathieufontaine,21,,,885,Apr 2017
809,Mai Van,"Mai Van is creating illustrations, 3D models, and comic books (whyst)",https://graphtreon.com/creator/whyst,21,,,480,Jun 2018
810,Ben Silberstein,"Ben Silberstein is creating visual art: drawing, digital collage, graphic design, fashion (bribenestlesin)",https://graphtreon.com/creator/bribenestlesin,21,$134 per month,$6.40 per month,219,Feb 2019
811,Epithet Noctem,Epithet Noctem is creating art of various types! (epithetnoctem),https://graphtreon.com/creator/epithetnoctem,21,$188 per month,$8.96 per month,216,Feb 2019
812,Jess Rose,Jess Rose is creating watercolour paintings and illustrations! (JessRoseArt),https://graphtreon.com/creator/JessRoseArt,21,$126 per month,$5.98 per month,195,Mar 2019
813,Eman Khan,"Eman Khan is creating tweets, essays, poetry, art, and more to dismantle -isms (punnysamosa)",https://graphtreon.com/creator/punnysamosa,21,,,871,May 2017
814,si_ku.k,si_ku.k is creating painting.drawing.3Dwork.music (siku334),https://graphtreon.com/creator/siku334,21,,,533,Apr 2018
815,Todd Boss,"Todd Boss is creating poems, libretti, public artworks, inventions, and other projects (toddbosspoet)",https://graphtreon.com/creator/toddbosspoet,21,,,639,Jan 2018
816,Sugarboy,Sugarboy is creating Furry and Fictional Illustrations and Streams (leprechaun),https://graphtreon.com/creator/leprechaun,21,$56 per month,$2.67 per month,1881,Aug 2014
817,Larry Dale,Larry Dale is creating Memes/Artwork (amwolfofwisdom),https://graphtreon.com/creator/amwolfofwisdom,21,$52 per month,$2.47 per month,251,Jan 2019
818,Mariana Avila,Mariana Avila is creating illustrations (marianaavilal),https://graphtreon.com/creator/marianaavilal,21,,,505,May 2018
819,Kuttoyaki,Kuttoyaki is creating Furry Illustrations (Kuttoyaki),https://graphtreon.com/creator/Kuttoyaki,21,,,769,Aug 2017
820,LoreSmyth,LoreSmyth is creating a fantasy roleplaying campaign setting (savagedawn),https://graphtreon.com/creator/savagedawn,21,$72 per month,$3.41 per month,602,Feb 2018
821,Laskull,"Laskull is creating illustration, graphic art and more (laskull)",https://graphtreon.com/creator/laskull,21,$30 per month,$1.43 per month,569,Mar 2018
822,Broc Sewell,"Broc Sewell is creating an epic adventure brimming with prophecy, pirates and parkour. (legendsofsora)",https://graphtreon.com/creator/legendsofsora,21,$131 per month,$6.23 per month,749,Sep 2017
823,stevieraedrawn,stevieraedrawn is creating illustrations & short stories about Weatherwax Coven (stevieraedrawn),https://graphtreon.com/creator/stevieraedrawn,21,$87 per month,$4.16 per month,554,Mar 2018
824,midorynn,midorynn is creating Animations and Illustrations (midorynn),https://graphtreon.com/creator/midorynn,21,$161 per month,$7.69 per month,751,Sep 2017
825,nyanafk,nyanafk is creating artwork (NyanAFK),https://graphtreon.com/creator/NyanAFK,21,,,930,Mar 2017
826,Milan Dufek,Milan Dufek is creating - Painting miniatures - A touch of history (milandufek),https://graphtreon.com/creator/milandufek,21,$89 per creation,$4.24 per creation,856,May 2017
827,Scott Connors,Scott Connors is creating The Necromancer's Song: A Critical Biography of Clark Ashton Smi (scottconnors),https://graphtreon.com/creator/scottconnors,21,$156 per month,$7.44 per month,520,Apr 2018
828,Taux,Taux is creating Artwork! (Taux),https://graphtreon.com/creator/Taux,21,$117 per creation,$5.57 per creation,619,Jan 2018
829,Zen Senpaii,"Zen Senpaii is creating Anime NUDE, NSFW Illustrations (ZenSenpaii)",https://graphtreon.com/creator/ZenSenpaii,21,,,1151,Aug 2016
830,Grunnet and Grumble,Grunnet and Grumble is creating The Fantasy Food Journal: Illustrations and RPG content (TheFantasyFoodJournal),https://graphtreon.com/creator/TheFantasyFoodJournal,21,,,586,Feb 2018
831,InsideOut Studio,InsideOut Studio is creating Opportunities for Artists with Special Needs (InsideOutStudio),https://graphtreon.com/creator/InsideOutStudio,21,,,485,Jun 2018
832,RaneBo Warrior,"RaneBo Warrior is creating drawings, paintings and their process (RaneBoWarrior)",https://graphtreon.com/creator/RaneBoWarrior,21,,,488,Jun 2018
833,Mecabricks,Mecabricks is creating a Digital LEGO Platform (mecabricks),https://graphtreon.com/creator/mecabricks,21,$269 per month,$12.81 per month,610,Jan 2018
834,Helene Boppert,Helene Boppert is creating watercolor illustration & fanart (HeleneBoppert),https://graphtreon.com/creator/HeleneBoppert,21,,,1120,Sep 2016
835,Muriel Fahrion,Muriel Fahrion is creating Art and Illustrations Whimsical & Imaginative (outtathinair),https://graphtreon.com/creator/outtathinair,21,$90 per month,$4.30 per month,233,Feb 2019
836,Thunder Cloud,Thunder Cloud is creating Art (Thundercloud),https://graphtreon.com/creator/Thundercloud,21,$621 per month,$29.57 per month,573,Mar 2018
837,Gracie Klumpp,Gracie Klumpp is creating story-steeped Illustrations (gracieklumpp),https://graphtreon.com/creator/gracieklumpp,21,$162 per month,$7.71 per month,558,Mar 2018
838,Dliok,Dliok is creating Illustrations (Dliok),https://graphtreon.com/creator/Dliok,21,,,444,Jul 2018
839,Ben Claassen III,"Ben Claassen III is creating Comics, Illustrations, & Paintings (dirtfarm)",https://graphtreon.com/creator/dirtfarm,21,$150 per month,$7.13 per month,744,Sep 2017
840,Marc Ngui,Marc Ngui is creating diagrams & drawings for A Thousand Plateaus (drawingathousandplateaus),https://graphtreon.com/creator/drawingathousandplateaus,21,,,1469,Sep 2015
841,Evocait,Evocait is creating character art and creator resources (evocaitart),https://graphtreon.com/creator/evocaitart,20,$149 per month,$7.46 per month,198,Mar 2019
842,Gabe Leonard,"Gabe Leonard is creating oil paintings, drawings and tutorials  (gabeleonardart)",https://graphtreon.com/creator/gabeleonardart,20,,,471,Jun 2018
843,Doodlesndrips,Doodlesndrips is creating Creatures & stuff (doodlesndrips),https://graphtreon.com/creator/doodlesndrips,20,,,591,Feb 2018
844,FudgeX02,FudgeX02 is creating Anime Bodybuilder Art (FudgeX02),https://graphtreon.com/creator/FudgeX02,20,,,1629,Apr 2015
845,megdoesart,megdoesart is creating illustration and fan art (megdoesart),https://graphtreon.com/creator/megdoesart,20,,,422,Aug 2018
846,XIZETA,XIZETA is creating art (xizeta),https://graphtreon.com/creator/xizeta,20,$19 per month,$0.94 per month,818,Jul 2017
847,Riley 'Mythimorph',Riley 'Mythimorph' is creating Creature Costumes & Illustrations (Mythimorph),https://graphtreon.com/creator/Mythimorph,20,$107 per month,$5.35 per month,1999,Apr 2014
848,Nemo Hana,Nemo Hana is creating Weird Furry Art (ItsNemo),https://graphtreon.com/creator/ItsNemo,20,$311 per month,$15.56 per month,1505,Aug 2015
849,ImpendingDuff,ImpendingDuff is creating Miniature War Gaming and Terrain Painting (ImpendingDuff40k),https://graphtreon.com/creator/ImpendingDuff40k,20,,,156,Apr 2019
850,Truffles,Truffles is creating some good shit!!!! (Truffles),https://graphtreon.com/creator/Truffles,20,$97 per month,$4.86 per month,517,May 2018
851,Ethan M. Aldridge,"Ethan M. Aldridge is creating Illustrations, Comics and Fantastical Stories (ethanaldridge)",https://graphtreon.com/creator/ethanaldridge,20,,,1465,Sep 2015
852,TambriArt,"TambriArt is creating digital art, doodles and smiles! (tambriart)",https://graphtreon.com/creator/tambriart,20,,,1348,Jan 2016
