Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
401,Tawny,"Tawny is creating Ink Drawings, Chaos, and Videos (tawnyfritz)",https://graphtreon.com/creator/tawnyfritz,47,,,1938,Jun 2014
402,Gillian Smith,Gillian Smith is creating art insights and behind the scenes studio updates (gillianleesmith),https://graphtreon.com/creator/gillianleesmith,46,$207 per month,$4.51 per month,166,Apr 2019
403,Minty,Minty is creating Digital Illustration  (tinymintywolf),https://graphtreon.com/creator/tinymintywolf,46,,,1207,Jun 2016
404,Kuzomari,"Kuzomari is creating Illustrations, Painting, Manga and Tutorial Videos (Kuzomari)",https://graphtreon.com/creator/Kuzomari,46,,,365,Oct 2018
405,Miamouz,"Miamouz is creating Enamel Pins, Paperwork, Drawings (miamouzpin)",https://graphtreon.com/creator/miamouzpin,46,$664 per month,$14.45 per month,218,Feb 2019
406,neomlei,neomlei is creating Ink Drawings (neomlei),https://graphtreon.com/creator/neomlei,46,$73 per month,$1.59 per month,632,Jan 2018
407,Stephen Najarian,"Stephen Najarian is creating fantasy paintings of Dragons epic landscapes, and more (steves3511)",https://graphtreon.com/creator/steves3511,46,$505 per month,$10.98 per month,271,Jan 2019
408,GANYIAO,GANYIAO is creating HD artwork & world building concept art! (ganyiao),https://graphtreon.com/creator/ganyiao,46,,,240,Feb 2019
409,Rare Press,Rare Press is creating blockprints and illustrations (rarepress),https://graphtreon.com/creator/rarepress,45,$177 per month,$3.93 per month,339,Oct 2018
410,Hoyt Silva,Hoyt Silva is creating Sequential Art and Illustration. (hoytsilva),https://graphtreon.com/creator/hoytsilva,45,$144 per month,$3.19 per month,923,Mar 2017
411,Digital Doll,Digital Doll is creating Digital Art for the Paper Loving Planner (digitaldoll),https://graphtreon.com/creator/digitaldoll,45,,,514,May 2018
412,Cecile Lu,Cecile Lu is creating watercolor + digital illustrations (cissyartcafe),https://graphtreon.com/creator/cissyartcafe,45,$387 per month,$8.59 per month,281,Dec 2018
413,Wool,Wool is creating Touhou Fanarts (miwol),https://graphtreon.com/creator/miwol,45,,,220,Feb 2019
414,Matt Sesow,Matt Sesow is creating Paintings (sesow),https://graphtreon.com/creator/sesow,45,,,837,Jun 2017
415,Surena Marie,Surena Marie is creating Charming Illustrations + Happy Content (surenamarie),https://graphtreon.com/creator/surenamarie,45,,,197,Mar 2019
416,Krisgoat,Krisgoat is creating Goatlings!  (Krisgoat),https://graphtreon.com/creator/Krisgoat,45,,,1618,Apr 2015
417,Janice Sung,Janice Sung is creating Illustrations  (janicesung),https://graphtreon.com/creator/janicesung,45,,,659,Dec 2017
418,Allison Prior,Allison Prior is creating Acrylic Painting and Drawing Tutorials for beginners  (allisonpriorart),https://graphtreon.com/creator/allisonpriorart,45,$99 per month,$2.20 per month,1067,Oct 2016
419,Paul Castle,"Paul Castle is creating Art, Illustrations, & Stories (PaulCastleStudio)",https://graphtreon.com/creator/PaulCastleStudio,44,,,184,Apr 2019
420,Dame Darcy,Dame Darcy is creating Meat Cake Manor / Comix / Videos / Paintings (damedarcy),https://graphtreon.com/creator/damedarcy,44,$410 per month,$9.31 per month,1564,Jun 2015
421,Cy Vendivil,Cy Vendivil is creating artworks (cyanroll),https://graphtreon.com/creator/cyanroll,44,,,534,Apr 2018
422,Jim Ether,"Jim Ether is creating Painting, Woodworking, Shop Solutions, Molding and Casting, Fun! (jimether)",https://graphtreon.com/creator/jimether,44,$404 per month,$9.18 per month,457,Jul 2018
423,Immy,"Immy is creating art inspired by natural patterns, & creature camouflage (immysmith)",https://graphtreon.com/creator/immysmith,44,,,829,Jun 2017
424,Daniel F. Walthall,Daniel F. Walthall is creating hand-drawn maps (axebane),https://graphtreon.com/creator/axebane,44,$80 per map,$1.82 per map,1960,May 2014
425,Jean-Baptiste Monge,Jean-Baptiste Monge is creating Illustrations/Traditional-Digital/3Dsculpt/CharaDesign/Fantasy  (jbmonge),https://graphtreon.com/creator/jbmonge,44,,,1611,May 2015
