Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
23,Xhilyn,"Xhilyn is creating an enamel pin club, illustrations, and other nice things (xhilyn)",https://graphtreon.com/creator/xhilyn,https://www.patreon.com/xhilyn,https://www.instagram.com/xhilyn,0,https://twitter.com/_xhilyn,https://www.youtube.com/channel/UC7yJ_GGNJ72Bd59Mvj-Gf6Q,550,,,1130,16-Aug
24,SrGrafo,SrGrafo is creating Drawings and Doodles (SrGrafo),https://graphtreon.com/creator/SrGrafo,https://www.patreon.com/SrGrafo,0,0,https://twitter.com/RpVoid,https://www.youtube.com/user/SrGrafo,540,,,748,17-Sep
25,Crimson Sun,Crimson Sun is creating illustrations and merchandise (crimbly),https://graphtreon.com/creator/crimbly,https://www.patreon.com/crimbly,0,0,https://twitter.com/CrimblySun,0,539,,,960,17-Feb
26,Ben Komets,Ben Komets is creating miniature art- Straight from the desk (ben_komets),https://graphtreon.com/creator/ben_komets,https://www.patreon.com/ben_komets,0,0,0,0,538,"$5,355 per month",$9.95 per month,1179,16-Jul
27,Ahmed Aldoori,Ahmed Aldoori is creating Artwork (ahmedaldoori),https://graphtreon.com/creator/ahmedaldoori,https://www.patreon.com/ahmedaldoori,0,0,https://twitter.com/ahmedaldoori,https://www.youtube.com/AhmedAldooriArt,486,,,1236,16-May
28,Hannah Lynn,Hannah Lynn is creating Magical Fantasy Art & Coloring Books! (hannahlynn),https://graphtreon.com/creator/hannahlynn,https://www.patreon.com/hannahlynn,https://www.instagram.com/hannahlynnart,0,https://twitter.com/hannahlynnart,0,479,"$2,873 per month",$6.00 per month,1578,15-Jun
29,Myles,Myles is creating Miniature Tutorials and Tutoring Seminars for miniature painting (lillegendstudio),https://graphtreon.com/creator/lillegendstudio,https://www.patreon.com/lillegendstudio,https://www.instagram.com/lil_legend_studio,https://www.facebook.com/lillegendstudio/,https://twitter.com/lillegendstudio,https://www.youtube.com/channel/UCUyqMztgn9d6Nc5ptUe-6EA,471,,,854,17-May
30,Asia Ladowska,"Asia Ladowska is creating Illustrations, Fanarts, Comics and Tutorials (Ladowska)",https://graphtreon.com/creator/Ladowska,https://www.patreon.com/Ladowska,https://www.instagram.com/ladowska,0,https://twitter.com/AsiaLadowska,https://www.youtube.com/asialadowska,442,,,1005,16-Dec
31,LiobaBrueckner,LiobaBrueckner is creating Paintings & Tutorials (liobabrueckner),https://graphtreon.com/creator/liobabrueckner,https://www.patreon.com/liobabrueckner,0,0,https://twitter.com/liobabrueckner,https://www.youtube.com/liobabrueckner,414,,,1121,16-Sep
32,Kenny Boucher,Kenny Boucher is creating Miniature Painting Tutorials  (nextlevelpainting),https://graphtreon.com/creator/nextlevelpainting,https://www.patreon.com/nextlevelpainting,https://www.instagram.com/nextlevelpainting,https://www.facebook.com/nextlevelpainting/,https://twitter.com/yodawg_kenny,https://www.youtube.com/nextlevelpropainting,408,,,1708,15-Jan
33,Stay Creative Painting with Ryan O'Rourke,Stay Creative Painting with Ryan O'Rourke is creating acrylic painting tutorials (staycreativepainting),https://graphtreon.com/creator/staycreativepainting,https://www.patreon.com/staycreativepainting,0,0,0,https://www.youtube.com/channel/UC6myJpft4zunOqNyfFhDzkA,406,"$2,546 per month",$6.27 per month,916,17-Mar
34,Painting Buddha,Painting Buddha is creating miniature painting goodness (paintingbuddha),https://graphtreon.com/creator/paintingbuddha,https://www.patreon.com/paintingbuddha,0,0,https://twitter.com/paintingbuddha,https://www.youtube.com/paintingbuddha,403,"$1,136 per video",$2.82 per video,1542,15-Jul
35,Painting with Jane,Painting with Jane is creating Painting Lessons and Inspiration (paintingwithjane),https://graphtreon.com/creator/paintingwithjane,https://www.patreon.com/paintingwithjane,0,0,0,https://www.youtube.com/channel/UCW4Afe-CtYM5kp6FJEUPTFA,398,"$2,137 per month",$5.37 per month,1173,16-Jul
36,Kawacy,Kawacy is creating DIGITAL ILLUSTRATIONS & COMICS (kawacy),https://graphtreon.com/creator/kawacy,https://www.patreon.com/kawacy,0,0,https://twitter.com/kawanocy,https://www.youtube.com/c/Kawacy,393,"$4,046 per month",$10.30 per month,1510,15-Aug
37,Amy T. Falcone,Amy T. Falcone is creating Drawings & Art (amytfalcone),https://graphtreon.com/creator/amytfalcone,https://www.patreon.com/amytfalcone,https://www.instagram.com/amytfalcone,0,https://twitter.com/amytfalcone,0,393,,,476,18-Jun
38,smoothie77,smoothie77 is creating drawing and painting tutorials (smoothie77),https://graphtreon.com/creator/smoothie77,https://www.patreon.com/smoothie77,0,0,0,https://www.youtube.com/channel/UCmFD5CqShz-qI5xV0_JWV7w,384,"$1,381 per month",$3.60 per month,1224,16-May
39,Banshee Miniature Art Academy,"Banshee Miniature Art Academy is creating a miniature painting, sculpting and designing academy (miniatureartacademy)",https://graphtreon.com/creator/miniatureartacademy,https://www.patreon.com/miniatureartacademy,0,0,0,https://www.youtube.com/MiniatureArtTV,378,,,367,18-Sep
40,pikaole,"pikaole is creating fish, marine life, shrimp, animal art & character (pikaole)",https://graphtreon.com/creator/pikaole,https://www.patreon.com/pikaole,0,0,https://twitter.com/pikaole,0,368,,,943,17-Mar
41,Toni Infante,"Toni Infante is creating Illustrations, Fanarts & Tutorials (toniinfante)",https://graphtreon.com/creator/toniinfante,https://www.patreon.com/toniinfante,0,0,https://twitter.com/toni_infante,0,365,,,1111,16-Sep
42,Gallus Rostromegalus,"Gallus Rostromegalus is creating Short Stories, illustrations, scientific illustration,  Novels (gallusrostromegalus)",https://graphtreon.com/creator/gallusrostromegalus,https://www.patreon.com/gallusrostromegalus,0,0,0,0,353,,,302,18-Dec
43,Yagi the Goat,Yagi the Goat is creating drawings & comics (s1120411),https://graphtreon.com/creator/s1120411,https://www.patreon.com/s1120411,0,0,https://twitter.com/s1120411,0,346,$843 per month,$2.44 per month,1096,16-Oct
44,Inkie Quill,"Inkie Quill is creating Scrapbooking, Art Journaling, Painting, Journaling and Crafty Sh (inkiequill)",https://graphtreon.com/creator/inkiequill,https://www.patreon.com/inkiequill,0,0,https://twitter.com/inkiequill,https://www.youtube.com/inkiequill,343,,,824,17-Jun
45,James’rpgart,James’rpgart is creating Animated Artworks for D&D and RPG Adventure Locations (jamesrpgart),https://graphtreon.com/creator/jamesrpgart,https://www.patreon.com/jamesrpgart,0,0,0,0,340,$601 per creation,$1.77 per creation,354,18-Oct
46,MAMOBOT,MAMOBOT is creating monthly pin club and artwork! (mamobot),https://graphtreon.com/creator/mamobot,https://www.patreon.com/mamobot,0,0,0,0,331,,,689,17-Nov
47,Happy D. Artist,"Happy D. Artist is creating Oil paintings, painting videos, tutorials (happydartist)",https://graphtreon.com/creator/happydartist,https://www.patreon.com/happydartist,https://www.instagram.com/happydartist,0,https://twitter.com/happydartist,https://www.youtube.com/happydartist,329,,,1340,16-Jan
48,Bre Indigo,Bre Indigo is creating Webcomics and Illustrations (ndgoarts),https://graphtreon.com/creator/ndgoarts,https://www.patreon.com/ndgoarts,https://www.instagram.com/ndgoarts,0,https://twitter.com/ndgoarts,0,327,$654 per month,$2.00 per month,1526,15-Jul
49,Bogusz Bohun Stupnicki,Bogusz Bohun Stupnicki is creating miniature painting art (bohunarts),https://graphtreon.com/creator/bohunarts,https://www.patreon.com/bohunarts,0,0,0,0,326,"$3,108 per month",$9.53 per month,712,17-Oct
50,tsuaii,tsuaii is creating Character Art (tsuaii),https://graphtreon.com/creator/tsuaii,https://www.patreon.com/tsuaii,0,0,https://twitter.com/tsuaii,0,323,,,1822,14-Oct
51,aurahack,aurahack is creating visual art of colorful spaces and cute girls (aurahack),https://graphtreon.com/creator/aurahack,https://www.patreon.com/aurahack,0,0,https://twitter.com/aurahack,https://www.youtube.com/aurahack,322,,,1275,16-Apr
52,Craig Mullins,"Craig Mullins is creating Art, Illustration",https://graphtreon.com/creator/user?u=2466799,https://www.patreon.com/user?u=2466799,0,0,0,0,321,"$2,283 per Image",$7.11 per Image,1437,15-Oct
