Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
207,John Conway,John Conway is creating Art (johnconway),https://graphtreon.com/creator/johnconway,https://www.patreon.com/johnconway,0,0,https://twitter.com/john,https://www.youtube.com/user/nyctopterus,87,"$260 per Drawing, Painting, or Animation","$2.99 per Drawing, Painting, or Animation",1695,15-Feb
208,Oh Caroool,Oh Caroool is creating illustrations and new lifestyle content about Japan (ohcaroool),https://graphtreon.com/creator/ohcaroool,https://www.patreon.com/ohcaroool,https://www.instagram.com/oh.caroool,0,https://twitter.com/ohcaroool_,https://www.youtube.com/channel/UCD2p1GRoxUVF9fTRLKMRITA,87,"$1,431 per month",$16.45 per month,393,18-Sep
209,Jess E. Owen,"Jess E. Owen is creating Stories, Artwork, and other Magic!  (authorjessowen)",https://graphtreon.com/creator/authorjessowen,https://www.patreon.com/authorjessowen,https://www.instagram.com/authorjessowen,0,https://twitter.com/authorjessowen,https://www.youtube.com/user/GryfonGirl/,87,,,1036,16-Nov
210,Puuung,"Puuung is creating Animations, Illustrations about what love is (puuung1)",https://graphtreon.com/creator/puuung1,https://www.patreon.com/puuung1,https://www.instagram.com/puuung1,https://www.facebook.com/puuung1/,https://twitter.com/puuung1,https://www.youtube.com/puuung1,87,$146 per month,$1.67 per month,771,17-Aug
211,Creamsherry,Creamsherry is creating dreams in the form of art (creamsherry),https://graphtreon.com/creator/creamsherry,https://www.patreon.com/creamsherry,0,0,https://twitter.com/creamsherryart,0,86,$608 per month,$7.07 per month,585,18-Feb
212,Dave Rapoza,Dave Rapoza is creating StarVeil! (DaveRapoza),https://graphtreon.com/creator/DaveRapoza,https://www.patreon.com/DaveRapoza,0,0,https://twitter.com/DaveRapoza,https://www.youtube.com/user/DaveRapoza,86,$185 per comic page,$2.16 per comic page,2195,13-Sep
213,Anthony,Anthony is creating Miniature Painting Tutorials (piratemonkeypainting),https://graphtreon.com/creator/piratemonkeypainting,https://www.patreon.com/piratemonkeypainting,0,0,0,0,86,,,997,17-Jan
214,Cocadope,Cocadope is creating Illustrations etc!! (cocadope),https://graphtreon.com/creator/cocadope,https://www.patreon.com/cocadope,0,0,https://twitter.com/cocadope,https://www.youtube.com/c/dopetalk,85,,,861,17-May
215,Nicole Gustafsson,Nicole Gustafsson is creating paintings featuring adventuring animals and nature. (nimasprout),https://graphtreon.com/creator/nimasprout,https://www.patreon.com/nimasprout,https://www.instagram.com/nimasprout,0,https://twitter.com/nimasprout,0,85,,,641,17-Dec
216,Thirdway Industries,Thirdway Industries is creating Playing Cards (thirdwayindustries),https://graphtreon.com/creator/thirdwayindustries,https://www.patreon.com/thirdwayindustries,https://www.instagram.com/thirdway_industries,0,0,0,85,,,264,19-Jan
217,John Magne O. Lisondra,John Magne O. Lisondra is creating painting tutorials (jmlisondra),https://graphtreon.com/creator/jmlisondra,https://www.patreon.com/jmlisondra,0,0,0,https://www.youtube.com/johnmagnelisondra,84,,,971,17-Feb
218,Art By Ali Haider,Art By Ali Haider is creating Hyperrealistic Drawing Tutorials (Artbyalihaider),https://graphtreon.com/creator/Artbyalihaider,https://www.patreon.com/Artbyalihaider,https://www.instagram.com/alihaiderrehman,0,0,https://www.youtube.com/c/artbyalihaider,84,,,526,18-Apr
219,Michael Divine - TenThousandVisions,Michael Divine - TenThousandVisions is creating Art (michaeldivine),https://graphtreon.com/creator/michaeldivine,https://www.patreon.com/michaeldivine,0,0,https://twitter.com/10000visions,https://www.youtube.com/user/TenThousandVisions,84,$505 per month,$6.01 per month,327,18-Nov
220,SeerLight,SeerLight is creating Digital illustrations and gif-styled live wallpapers (seerlight),https://graphtreon.com/creator/seerlight,https://www.patreon.com/seerlight,https://www.instagram.com/seerlight,0,0,0,84,$341 per month,$4.05 per month,270,19-Jan
221,Absolute Ama,Absolute Ama is creating Magical Paintings (absoluteama),https://graphtreon.com/creator/absoluteama,https://www.patreon.com/absoluteama,https://www.instagram.com/absolute_ama,0,https://twitter.com/absolute_ama,https://www.youtube.com/c/AbsoluteAma,83,$524 per month,$6.32 per month,793,17-Jul
222,Paco Panda,"Paco Panda is creating Comics, drawings and illustrations (pandapaco)",https://graphtreon.com/creator/pandapaco,https://www.patreon.com/pandapaco,0,0,https://twitter.com/panda_paco,https://www.youtube.com/user/pandapacomcr,83,,,1367,16-Jan
223,Accell,Accell is creating Illustrations and Comics! (accell),https://graphtreon.com/creator/accell,https://www.patreon.com/accell,0,0,https://twitter.com/accelldraws,https://www.youtube.com/channel/UCqkvRn9LjeITrQ-pqDTZFXA,83,,,430,18-Jul
224,Nagu,Nagu is creating illustrations (naguri),https://graphtreon.com/creator/naguri,https://www.patreon.com/naguri,0,0,https://twitter.com/wooperfuri,https://www.youtube.com/naguri,82,,,884,17-May
225,Diane Alber,Diane Alber is creating children's books and teaching others how to as well! (dianealber),https://graphtreon.com/creator/dianealber,https://www.patreon.com/dianealber,0,0,0,0,82,,,42,19-Aug
226,Katy Lipscomb LLC,Katy Lipscomb LLC is creating Collectable Enamel Artist Pins (katylipscomb),https://graphtreon.com/creator/katylipscomb,https://www.patreon.com/katylipscomb,0,0,0,0,82,,,426,18-Aug
227,Zoobey,Zoobey is creating Stygians! (zoobey),https://graphtreon.com/creator/zoobey,https://www.patreon.com/zoobey,0,0,0,0,82,$818 per month,$9.97 per month,187,19-Mar
228,Amy Shulke,Amy Shulke is creating Live Coloring Sessions (VanillaArtsCo),https://graphtreon.com/creator/VanillaArtsCo,https://www.patreon.com/VanillaArtsCo,0,0,0,https://www.youtube.com/channel/UC96rO2jZrAeBfF3g2sPys4g,81,,,1586,15-May
229,Katie Hofgard,Katie Hofgard is creating Art (Eskiworks),https://graphtreon.com/creator/Eskiworks,https://www.patreon.com/Eskiworks,0,0,https://twitter.com/Eskiworks,0,81,$481 per month,$5.94 per month,1474,15-Sep
230,LadyGT,"LadyGT is creating Artworks, tutorials, speed paintings, animations and comics (LadyGT)",https://graphtreon.com/creator/LadyGT,https://www.patreon.com/LadyGT,0,0,https://twitter.com/LadyGT_DA,https://www.youtube.com/channel/UCQBlXVLG91OKTBs58CGvvBQ,81,$174 per creation,$2.14 per creation,1484,15-Sep
231,Glaz,Glaz is creating Illustrations and Artistic Oddities (glaz),https://graphtreon.com/creator/glaz,https://www.patreon.com/glaz,0,0,https://twitter.com/The_Glaz,0,81,,,1119,16-Sep
232,Artwork Cari Studio,Artwork Cari Studio is creating Cari-Studio.com (cari_studio),https://graphtreon.com/creator/cari_studio,https://www.patreon.com/cari_studio,0,0,https://twitter.com/cari_studio,0,81,,,643,17-Dec
233,Pulex,Pulex is creating Sticker Packs (Pulex),https://graphtreon.com/creator/Pulex,https://www.patreon.com/Pulex,0,0,https://twitter.com/LordPulex,0,81,,,754,17-Sep
234,Krabat,Krabat is creating Illustrations  (krabat),https://graphtreon.com/creator/krabat,https://www.patreon.com/krabat,0,0,https://twitter.com/krabat_,https://www.youtube.com/channel/UCQQ9acR8n7qyYQyDRCnNR8Q,80,,,924,17-Mar
235,liyart,liyart is creating Art and Character Designs (liyart),https://graphtreon.com/creator/liyart,https://www.patreon.com/liyart,https://www.instagram.com/liyart,0,https://twitter.com/liyart_,0,80,,,353,18-Oct
236,Carrie Hawks Tigerpixie,Carrie Hawks Tigerpixie is creating Fantasy Cat Art (tigerpixie),https://graphtreon.com/creator/tigerpixie,https://www.patreon.com/tigerpixie,https://www.instagram.com/tigerpixieart,https://www.facebook.com/tigerpixieart/,https://twitter.com/tigerpixie,https://www.youtube.com/tigerpixie,80,$819 per month,$10.24 per month,791,17-Aug
237,Amrit Brar,"Amrit Brar is creating Illustrations, Zines, and Tarot Cards (amritbrar)",https://graphtreon.com/creator/amritbrar,https://www.patreon.com/amritbrar,0,0,https://twitter.com/0h_musterni,0,79,,,996,17-Jan
238,Allexis Kristedja,"Allexis Kristedja is creating Kings Folly, Torte and Lacey, Fan art, Merchandise (whispwill)",https://graphtreon.com/creator/whispwill,https://www.patreon.com/whispwill,https://www.instagram.com/whispwill,0,https://twitter.com/whispwill,0,79,$513 per month,$6.50 per month,1733,15-Jan
239,Tim Von Rueden,Tim Von Rueden is creating Illustrated works and drawings (vonnart),https://graphtreon.com/creator/vonnart,https://www.patreon.com/vonnart,0,0,https://twitter.com/vonnart,https://www.youtube.com/vonnart,79,,,601,18-Feb
240,seasonjours,seasonjours is creating journal and illustration  (seasonjours),https://graphtreon.com/creator/seasonjours,https://www.patreon.com/seasonjours,0,0,0,https://www.youtube.com/channel/UCTuSBdeeVr4h9ZNNYuifzNA?view_as=subscriber,78,$318 per month,$4.08 per month,413,18-Aug
241,Bianca Roman-Stumpff,Bianca Roman-Stumpff is creating Art and Paintings of Random Adorable Randomness (Artofbianca),https://graphtreon.com/creator/Artofbianca,https://www.patreon.com/Artofbianca,0,0,0,0,78,,,661,17-Dec
242,Heather,Heather is creating relaxing ASMR + fun paintings  (HeatheredEffect),https://graphtreon.com/creator/HeatheredEffect,https://www.patreon.com/HeatheredEffect,0,https://www.facebook.com/HeatheredEffect/,https://twitter.com/HeatheredEffect,0,77,,,502,18-May
243,Pawlove,Pawlove is creating warm and fuzzy things (pawlove),https://graphtreon.com/creator/pawlove,https://www.patreon.com/pawlove,https://www.instagram.com/pawlove_arts,0,0,0,77,$317 per month,$4.11 per month,660,17-Dec
244,Culture Mill,Culture Mill is creating Performing Arts and Local Creative Culture (culturemill),https://graphtreon.com/creator/culturemill,https://www.patreon.com/culturemill,https://www.instagram.com/cultmill,https://www.facebook.com/culturemill/,https://twitter.com/cultmill,0,77,"$1,024 per month",$13.30 per month,464,18-Jun
245,Dark Realm Maps,Dark Realm Maps is creating Fantasy RPG Maps and Adventures (darkrealmmaps),https://graphtreon.com/creator/darkrealmmaps,https://www.patreon.com/darkrealmmaps,0,0,https://twitter.com/DarkRealmMaps,https://www.youtube.com/channel/UCIx1pmVwuKeV0GJh3tkYNbg,77,,,527,18-Apr
246,Kit Steele,Kit Steele is creating Illustrations and Sketchbooks! (silvertales),https://graphtreon.com/creator/silvertales,https://www.patreon.com/silvertales,0,0,https://twitter.com/silvertales,0,76,,,653,17-Dec
247,Kadabura,"Kadabura is creating Illustrations, Character Designs, and Stories (Kadabura)",https://graphtreon.com/creator/Kadabura,https://www.patreon.com/Kadabura,0,0,https://twitter.com/KadaburaDraws,0,76,$270 per month,$3.55 per month,1463,15-Sep
248,Kaion,Kaion is creating illustration ideas (kaiart),https://graphtreon.com/creator/kaiart,https://www.patreon.com/kaiart,0,0,0,0,74,$439 per month,$5.93 per month,904,17-Apr
249,Colin,Colin is creating tutorials for painting armies of wargames miniatures (legalizedmischief),https://graphtreon.com/creator/legalizedmischief,https://www.patreon.com/legalizedmischief,https://www.instagram.com/legalizedmischief,https://www.facebook.com/LegalizedMischiefProductions/,0,0,74,$878 per month,$11.87 per month,32,19-Aug
250,Tawana Simone,Tawana Simone is creating Planner Printables & Digital Content (tawanasimone),https://graphtreon.com/creator/tawanasimone,https://www.patreon.com/tawanasimone,https://www.instagram.com/tawanasimone,0,https://twitter.com/adorkableetc,0,74,,,1344,16-Jan
251,Gilles,Gilles is creating enamel pins! (GillesBone),https://graphtreon.com/creator/GillesBone,https://www.patreon.com/GillesBone,https://www.instagram.com/gillesbone,https://www.facebook.com/GBIllustrations/,https://twitter.com/GillesBone,https://www.youtube.com/user/GillesBone,74,,,1660,15-Mar
252,Molly Harrison,"Molly Harrison is creating coloring pages, coloring books and art (fantasyartistmolly)",https://graphtreon.com/creator/fantasyartistmolly,https://www.patreon.com/fantasyartistmolly,https://www.instagram.com/mollyharrisonart,0,0,0,74,$464 per month,$6.28 per month,547,18-Apr
253,nakanoart,"nakanoart is creating Art, Wallpapers, and Fan Requests (nakanoart)",https://graphtreon.com/creator/nakanoart,https://www.patreon.com/nakanoart,https://www.instagram.com/nakanoart,0,https://twitter.com/nakanodrawing,0,73,,,492,18-May
254,Muffin,Muffin is creating commissions & character illustration (muffin),https://graphtreon.com/creator/muffin,https://www.patreon.com/muffin,0,0,https://twitter.com/_britishmuffin,0,73,,,401,18-Aug
255,Miss Mindy,Miss Mindy is creating Paintings and Sculptures (missmindy),https://graphtreon.com/creator/missmindy,https://www.patreon.com/missmindy,0,0,https://twitter.com/missmindyobrien,https://www.youtube.com/user/missmindypants,73,,,1325,16-Feb
256,Jenna Barton,Jenna Barton is creating illustrations & poetry (dappermouth),https://graphtreon.com/creator/dappermouth,https://www.patreon.com/dappermouth,https://www.instagram.com/dappermouth,0,0,0,73,,,768,17-Aug
257,muddymelly,muddymelly is creating digital artwork (muddymelly),https://graphtreon.com/creator/muddymelly,https://www.patreon.com/muddymelly,0,0,https://twitter.com/muddymelly,0,72,$298 per batch (1 - 2 batches per month),$4.14 per batch (1 - 2 batches per month),1217,16-Jun
258,Byron Winton,Byron Winton is creating Paintings and Drawings (byronwinton),https://graphtreon.com/creator/byronwinton,https://www.patreon.com/byronwinton,https://www.instagram.com/byronwinton3,https://www.facebook.com/byronwinton3/,https://twitter.com/byronwinton3,https://www.youtube.com/channel/UC-0Yz_cyeyR6o90eD2EPDrA/videos,72,,,1834,14-Sep
259,Jonathan Pageau,Jonathan Pageau is creating traditional carvings (jonathanpageau),https://graphtreon.com/creator/jonathanpageau,https://www.patreon.com/jonathanpageau,0,0,0,https://www.youtube.com/channel/UCtCTSf3UwRU14nYWr_xm-dQ,72,$864 per month,$12.00 per month,1080,16-Oct
260,Tyler Walpole,Tyler Walpole is creating A draconic urban fantasy comic and illustrations (bloodofdragons),https://graphtreon.com/creator/bloodofdragons,https://www.patreon.com/bloodofdragons,0,0,https://twitter.com/TylerWalpole,https://www.youtube.com/channel/UCAXX2Xy1jm7C1tG2ZsNaf8A,72,$595 per month,$8.26 per month,1072,16-Oct
261,Sarah Thursday,Sarah Thursday is creating Illustrations and original merchandise (sarahthursday),https://graphtreon.com/creator/sarahthursday,https://www.patreon.com/sarahthursday,https://www.instagram.com/sarahthursday,0,0,0,72,"$2,066 per month",$28.70 per month,189,19-Mar
262,Lauren,"Lauren is creating Pin Club + Original Art // enamel pins, stickers & illustrations (enchant)",https://graphtreon.com/creator/enchant,https://www.patreon.com/enchant,0,0,https://twitter.com/meowth,https://www.youtube.com/user/baetrixart,72,,,1972,14-May
263,Anton Gudim,Anton Gudim is creating comics and illustrations (gudim),https://graphtreon.com/creator/gudim,https://www.patreon.com/gudim,https://www.instagram.com/gudim_public,0,https://twitter.com/like_gudim,0,71,$221 per month,$3.11 per month,240,19-Feb
264,Loika,Loika is creating Illustrations & Stories (loika),https://graphtreon.com/creator/loika,https://www.patreon.com/loika,0,0,https://twitter.com/loika,0,70,,,1589,15-May
265,Lineke Lijn,Lineke Lijn is creating Drawing Tutorials (linekelijn),https://graphtreon.com/creator/linekelijn,https://www.patreon.com/linekelijn,0,0,0,https://www.youtube.com/channel/UCg_VnlKCBfR7n78FsSx39pw,70,,,680,17-Nov
266,Tristan Yuvienco,"Tristan Yuvienco is creating sketches, studies and tutorials (trisketched)",https://graphtreon.com/creator/trisketched,https://www.patreon.com/trisketched,https://www.instagram.com/trisketched,0,https://twitter.com/trisketched,0,69,,,562,18-Mar
267,Bill Day,Bill Day is creating 5  Political Cartoons a week (BillDayArt),https://graphtreon.com/creator/BillDayArt,https://www.patreon.com/BillDayArt,0,0,https://twitter.com/BillDaytoons,0,69,,,462,18-Jun
268,Naomi Nowak,"Naomi Nowak is creating visionary paintings, ethical fashion and silver jewels. (naominowak)",https://graphtreon.com/creator/naominowak,https://www.patreon.com/naominowak,0,0,0,0,68,$278 per month,$4.09 per month,701,17-Oct
269,Bocodamondo,Bocodamondo is creating Animation and Artworks (Bocodamondo),https://graphtreon.com/creator/Bocodamondo,https://www.patreon.com/Bocodamondo,0,0,https://twitter.com/bocodamondo,https://www.youtube.com/user/bocodamondo,68,,,905,17-Apr
270,Brandon Kenney,Brandon Kenney is creating artwork and tutorials. (BrandonKenney),https://graphtreon.com/creator/BrandonKenney,https://www.patreon.com/BrandonKenney,0,0,https://twitter.com/BrandonsBrain,https://www.youtube.com/user/Ethrendil/,68,,,1277,16-Apr
271,Michael James Smith,Michael James Smith is creating Photo Realistic Oil Paintings (michaeljamessmith),https://graphtreon.com/creator/michaeljamessmith,https://www.patreon.com/michaeljamessmith,https://www.instagram.com/mjspaintings,0,0,0,68,,,172,19-Apr
272,Zatcaskagoon Miniatures,Zatcaskagoon Miniatures is creating Miniature Painting Tutorials (zatcaskagoon),https://graphtreon.com/creator/zatcaskagoon,https://www.patreon.com/zatcaskagoon,0,0,0,https://www.youtube.com/channel/UCj8X4YBgWcDQkPfqsLZJs9g,68,,,1396,15-Dec
273,Sara Tepes,Sara Tepes is creating Traditional and Digital Artwork (sarucatepes),https://graphtreon.com/creator/sarucatepes,https://www.patreon.com/sarucatepes,0,0,https://twitter.com/https,https://www.youtube.com/channel/UCWgMcluGLnaVpCWmscaFs_Q,68,,,599,18-Feb
274,Ellis Woolley,Ellis Woolley is creating Illustrations & Artwork (ellisjade_),https://graphtreon.com/creator/ellisjade_,https://www.patreon.com/ellisjade_,0,0,0,https://www.youtube.com/user/disenchanted999,68,$574 per month,$8.45 per month,1127,16-Aug
275,Fuki,Fuki is creating cool drawings! (Fuki),https://graphtreon.com/creator/Fuki,https://www.patreon.com/Fuki,0,0,0,https://www.youtube.com/user/kotekpieprzotek,67,,,1728,15-Jan
276,Jennifer Miller,"Jennifer Miller is creating paintings, drawings, and sculpture (nambroth)",https://graphtreon.com/creator/nambroth,https://www.patreon.com/nambroth,0,0,https://twitter.com/nambroth,0,67,,,2033,14-Mar
277,Kim Myatt,Kim Myatt is creating illustrations (Ysvyri),https://graphtreon.com/creator/Ysvyri,https://www.patreon.com/Ysvyri,https://www.instagram.com/ysvyri,0,https://twitter.com/Ysvyri,0,67,$152 per month,$2.27 per month,670,17-Dec
278,Eva Sowinski,Eva Sowinski is creating Original Artwork (critterosity),https://graphtreon.com/creator/critterosity,https://www.patreon.com/critterosity,0,0,https://twitter.com/critterosity,https://www.youtube.com/critterosity,67,,,1248,16-May
279,Lunumbra,Lunumbra is creating Hand-Painted Extended Art Trading Cards (Lunumbra),https://graphtreon.com/creator/Lunumbra,https://www.patreon.com/Lunumbra,0,0,0,https://www.youtube.com/lunumbrasawesomepaintedcards,67,,,1337,16-Feb
280,Arkaitz Pérez,Arkaitz Pérez is creating figure painting tutorials- Noh´s figure painting academy. (NoHAcademy),https://graphtreon.com/creator/NoHAcademy,https://www.patreon.com/NoHAcademy,0,0,0,0,67,,,1016,16-Dec
281,Kierstin LaPatka,Kierstin LaPatka is creating Monsters (TheMonsterForge),https://graphtreon.com/creator/TheMonsterForge,https://www.patreon.com/TheMonsterForge,0,0,0,0,66,$296 per month,$4.48 per month,1875,14-Aug
282,Tomislav,Tomislav is creating world full of mysterious giants (tomislav),https://graphtreon.com/creator/tomislav,https://www.patreon.com/tomislav,0,0,https://twitter.com/JagnjicTomislav,0,66,$180 per painting,$2.73 per painting,301,18-Dec
283,Issy,Issy is creating Artwork and Animation (ijkelly),https://graphtreon.com/creator/ijkelly,https://www.patreon.com/ijkelly,0,0,https://twitter.com/Issy,https://www.youtube.com/channel/UCNxyCHAbm1zm8IVKiFhswNg,66,$147 per month,$2.22 per month,943,17-Mar
284,Hinoe,"Hinoe is creating Illustrations, Drawings, Manga (Hinoe)",https://graphtreon.com/creator/Hinoe,https://www.patreon.com/Hinoe,0,0,0,0,66,,,555,18-Mar
285,Devin Elle Kurtz,Devin Elle Kurtz is creating Illustrations (devinellekurtz),https://graphtreon.com/creator/devinellekurtz,https://www.patreon.com/devinellekurtz,0,0,0,https://www.youtube.com/c/DevinElleKurtzArt,66,,,1279,16-Apr
286,Citrinelle,Citrinelle is creating Digital Art (Citrinelle),https://graphtreon.com/creator/Citrinelle,https://www.patreon.com/Citrinelle,0,0,https://twitter.com/citrinelle,0,65,$921 per month,$14.17 per month,614,18-Jan
287,Matt Cexwish,"Matt Cexwish is creating Miniature Art, Basing and Painting Tutorials (joyofbasing)",https://graphtreon.com/creator/joyofbasing,https://www.patreon.com/joyofbasing,0,0,0,https://www.youtube.com/channel/UCNLJNpeSC1Hf3C_JvEngkPw,65,,,821,17-Jul
288,Carla Morrow,"Carla Morrow is creating Empowerment, inspiration and beauty through Dragons. (Dragonladyart)",https://graphtreon.com/creator/Dragonladyart,https://www.patreon.com/Dragonladyart,0,0,https://twitter.com/Dragonladyart,https://www.youtube.com/c/dragonladyart,65,$327 per month,$5.03 per month,1542,15-Jul
289,Chun Lo,Chun Lo is creating Art - Tutorials - Prints (chunloart),https://graphtreon.com/creator/chunloart,https://www.patreon.com/chunloart,0,0,https://twitter.com/belgeist,https://www.youtube.com/user/chunloart,65,,,644,17-Dec
290,vacuum,"vacuum is creating art, illustrations (vacuumch)",https://graphtreon.com/creator/vacuumch,https://www.patreon.com/vacuumch,https://www.instagram.com/vacuumch_,0,https://twitter.com/vacuum_chan,0,65,,,155,19-Apr
291,Aud Koch,"Aud Koch is creating comics, doodles & illustrations! (audkoch)",https://graphtreon.com/creator/audkoch,https://www.patreon.com/audkoch,0,0,https://twitter.com/audkoch,0,64,,,1730,15-Jan
292,Munkao,Munkao is creating South-East Asian Fantasy world building (athousandthousandislands),https://graphtreon.com/creator/athousandthousandislands,https://www.patreon.com/athousandthousandislands,0,0,0,0,64,$146 per month,$2.29 per month,957,17-Feb
293,TerraTerrific,"TerraTerrific is creating Illustrations, Character Designs, and Comics (terraterrific)",https://graphtreon.com/creator/terraterrific,https://www.patreon.com/terraterrific,https://www.instagram.com/tewwatee,0,0,0,63,,,155,19-Apr
294,Cuddlehooves,Cuddlehooves is creating Cute babyfur & ABDL art  (cuddlehooves),https://graphtreon.com/creator/cuddlehooves,https://www.patreon.com/cuddlehooves,0,0,0,0,63,$113 per month,$1.79 per month,867,17-May
295,RobPaintsModels,RobPaintsModels is creating Miniature Painting Tutorials (RobPaintsModels),https://graphtreon.com/creator/RobPaintsModels,https://www.patreon.com/RobPaintsModels,0,0,https://twitter.com/RobPudding,https://www.youtube.com/RobPaintsModels,63,$313 per month,$4.97 per month,462,18-Jun
296,NubianRockChick,NubianRockChick is creating Illustrations  (nubianrockchick),https://graphtreon.com/creator/nubianrockchick,https://www.patreon.com/nubianrockchick,0,0,0,https://www.youtube.com/c/nubianrockchick,63,,,793,17-Jul
297,Maly,"Maly is creating soap, sewing, drawing, and dragons (maly)",https://graphtreon.com/creator/maly,https://www.patreon.com/maly,0,0,https://twitter.com/malytwotails,0,63,,,889,17-Apr
298,Jess Weymouth,Jess Weymouth is creating Watercolor + Illustration Artwork   (Jessweymouth),https://graphtreon.com/creator/Jessweymouth,https://www.patreon.com/Jessweymouth,0,0,0,0,63,,,554,18-Mar
299,PaintingBig,PaintingBig is creating Miniature Painting & Color Tutorials  (paintingbig),https://graphtreon.com/creator/paintingbig,https://www.patreon.com/paintingbig,0,0,0,0,63,$609 per month,$9.67 per month,294,18-Dec
300,Otaku Pins,"Otaku Pins is creating Pins, stickers, and apparel (otakupins)",https://graphtreon.com/creator/otakupins,https://www.patreon.com/otakupins,0,0,0,0,63,,,701,17-Oct
301,Owen Cyclops,Owen Cyclops is creating new mystical aesthetica (owencyclops),https://graphtreon.com/creator/owencyclops,https://www.patreon.com/owencyclops,0,0,0,0,62,,,363,18-Oct
302,Shattered-Earth,Shattered-Earth is creating Pin Packs & Art (ShatteredEarth),https://graphtreon.com/creator/ShatteredEarth,https://www.patreon.com/ShatteredEarth,0,0,https://twitter.com/Shattered_Earth,0,62,,,394,18-Sep
303,Paul Russel,Paul Russel is creating Birthday Illustrations! (doctorabominable),https://graphtreon.com/creator/doctorabominable,https://www.patreon.com/doctorabominable,https://www.instagram.com/doctorabominable,0,https://twitter.com/Dr_Abominable,0,62,$398 per month,$6.41 per month,761,17-Sep
304,Allen Panakal,Allen Panakal is creating science fiction worlds through storytelling & illustrations. (allenpanakal),https://graphtreon.com/creator/allenpanakal,https://www.patreon.com/allenpanakal,https://www.instagram.com/allenpanakalart,0,https://twitter.com/AllenPanakalArt,0,62,$162 per month,$2.61 per month,537,18-Apr
305,Megan Lara,Megan Lara is creating Artwork (MeganLara),https://graphtreon.com/creator/MeganLara,https://www.patreon.com/MeganLara,0,0,0,https://www.youtube.com/meganlaraart,62,,,1356,16-Jan
306,Fireside Textiles,Fireside Textiles is creating Screen Printed Fabric and Stitchable Prints (FiresideTextiles),https://graphtreon.com/creator/FiresideTextiles,https://www.patreon.com/FiresideTextiles,0,0,https://twitter.com/firesidetxtls,0,62,,,726,17-Oct
307,Sara Richard,Sara Richard is creating Fine Art & Illustration (SaraRichard),https://graphtreon.com/creator/SaraRichard,https://www.patreon.com/SaraRichard,0,0,https://twitter.com/sararichard,https://www.youtube.com/user/BizarreCubed,62,,,1188,16-Jul
308,Cyarin,Cyarin is creating art and shitposts (cyarin),https://graphtreon.com/creator/cyarin,https://www.patreon.com/cyarin,0,0,https://twitter.com/cyarine,https://www.youtube.com/channel/UC5NbNdDhmLYxw2_n9SwUzaw,61,,,527,18-Apr
309,Anastasia-berry,"Anastasia-berry is creating Illustrations, Tutorials and Referenses (AnastasiaDeg)",https://graphtreon.com/creator/AnastasiaDeg,https://www.patreon.com/AnastasiaDeg,https://www.instagram.com/anastasiadeg,0,https://twitter.com/AnastasiaDeg,https://www.youtube.com/channel/UCHBsQtnMnh_0ULWOcejkHwQ,61,$269 per month,$4.40 per month,1165,16-Jul
310,Tachibana Lita,Tachibana Lita is creating Manga and Illustrations (lita426t),https://graphtreon.com/creator/lita426t,https://www.patreon.com/lita426t,https://www.instagram.com/lita426t,0,https://twitter.com/lita426t,https://www.youtube.com/c/LitaTachibana,61,,,1468,15-Sep
311,Lorena Lammer,Lorena Lammer is creating The PETRICHOR Story Book (lorenalammer),https://graphtreon.com/creator/lorenalammer,https://www.patreon.com/lorenalammer,0,0,https://twitter.com/Amaretta_,0,61,,,963,17-Feb
312,Fran Wilde,"Fran Wilde is creating things with ink & pixels: poems, drawings, ministories... & more (franwilde)",https://graphtreon.com/creator/franwilde,https://www.patreon.com/franwilde,0,0,https://twitter.com/fran_wilde,0,60,$285 per month,$4.76 per month,629,18-Jan
313,Voyage dans l'espace,Voyage dans l'espace is creating Balado (voyagedanslespace),https://graphtreon.com/creator/voyagedanslespace,https://www.patreon.com/voyagedanslespace,0,0,0,https://www.youtube.com/channel/UCjoenxl-R9C_L7VwaLEc-UQ?view_as=subscriber,60,,,422,18-Aug
314,Little Miss Paintbrush,Little Miss Paintbrush is creating cute drawings and stationery (chichilittle),https://graphtreon.com/creator/chichilittle,https://www.patreon.com/chichilittle,0,0,https://twitter.com/chichilittle,0,60,,,559,18-Mar
315,Jonas Lau Markussen,Jonas Lau Markussen is creating illustrated content about the Viking age (jonaslaumarkussen),https://graphtreon.com/creator/jonaslaumarkussen,https://www.patreon.com/jonaslaumarkussen,0,0,0,0,60,$257 per month,$4.28 per month,784,17-Aug
316,Aurora the Flying Rainbow Lasagne,"Aurora the Flying Rainbow Lasagne is creating DNA transforming hyper-dimensional portals, paintings, recorded  (flyingrainbowlasagne)",https://graphtreon.com/creator/flyingrainbowlasagne,https://www.patreon.com/flyingrainbowlasagne,0,0,https://twitter.com/flyinglasagne,https://www.youtube.com/user/FlyingRainbowLasagne,60,$864 per month,$14.40 per month,1146,16-Aug
317,Nicole Thornwolf Dornsife,Nicole Thornwolf Dornsife is creating wildlife and fantasy artwork (Thornwolf),https://graphtreon.com/creator/Thornwolf,https://www.patreon.com/Thornwolf,0,0,https://twitter.com/ThornwolfArt,0,59,$353 per month,$5.99 per month,2038,14-Mar
