Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
42,Gallus Rostromegalus,"Gallus Rostromegalus is creating Short Stories, illustrations, scientific illustration,  Novels (gallusrostromegalus)",https://graphtreon.com/creator/gallusrostromegalus,353,,,302,Dec-18
43,Yagi the Goat,Yagi the Goat is creating drawings & comics (s1120411),https://graphtreon.com/creator/s1120411,346,$843 per month,$2.44 per month,1096,Oct-16
44,Inkie Quill,"Inkie Quill is creating Scrapbooking, Art Journaling, Painting, Journaling and Crafty Sh (inkiequill)",https://graphtreon.com/creator/inkiequill,343,,,824,Jun-17
45,James’rpgart,James’rpgart is creating Animated Artworks for D&D and RPG Adventure Locations (jamesrpgart),https://graphtreon.com/creator/jamesrpgart,340,$601 per creation,$1.77 per creation,354,Oct-18
46,MAMOBOT,MAMOBOT is creating monthly pin club and artwork! (mamobot),https://graphtreon.com/creator/mamobot,331,,,689,Nov-17
47,Happy D. Artist,"Happy D. Artist is creating Oil paintings, painting videos, tutorials (happydartist)",https://graphtreon.com/creator/happydartist,329,,,1340,Jan-16
48,Bre Indigo,Bre Indigo is creating Webcomics and Illustrations (ndgoarts),https://graphtreon.com/creator/ndgoarts,327,$654 per month,$2.00 per month,1526,Jul-15
49,Bogusz Bohun Stupnicki,Bogusz Bohun Stupnicki is creating miniature painting art (bohunarts),https://graphtreon.com/creator/bohunarts,326,"$3,108 per month",$9.53 per month,712,Oct-17
50,tsuaii,tsuaii is creating Character Art (tsuaii),https://graphtreon.com/creator/tsuaii,323,,,1822,Oct-14
51,aurahack,aurahack is creating visual art of colorful spaces and cute girls (aurahack),https://graphtreon.com/creator/aurahack,322,,,1275,Apr-16
52,Craig Mullins,"Craig Mullins is creating Art, Illustration",https://graphtreon.com/creator/user?u=2466799,321,"$2,283 per Image",$7.11 per Image,1437,Oct-15
53,JRN-Arts,JRN-Arts is creating Anthro Illustrations and Original Life +5 (jrnarts),https://graphtreon.com/creator/jrnarts,316,,,552,Mar-18
